bike_id,station_id,station_name,longitude,latitude,parking_count,capacity,last_update
B001,S001,人民广场站,121.4737,31.2304,95,100,2026-06-05 08:30:00
B002,S001,人民广场站,121.4737,31.2304,95,100,2026-06-05 08:30:00
B003,S002,中山公园站,121.4237,31.2204,45,60,2026-06-05 08:25:00
B004,S002,中山公园站,121.4237,31.2204,45,60,2026-06-05 08:25:00
B005,S003,静安寺站,121.4510,31.2245,20,80,2026-06-05 08:20:00
B006,S003,静安寺站,121.4510,31.2245,20,80,2026-06-05 08:20:00
B007,S004,徐家汇站,121.4367,31.1950,70,80,2026-06-05 08:35:00
B008,S004,徐家汇站,121.4367,31.1950,70,80,2026-06-05 08:35:00
B009,S005,陆家嘴站,121.5050,31.2380,15,50,2026-06-05 08:40:00
B010,S005,陆家嘴站,121.5050,31.2380,15,50,2026-06-05 08:40:00
B011,S006,世纪大道站,121.5210,31.2340,0,40,2026-06-05 08:45:00
B012,S006,世纪大道站,121.5210,31.2340,0,40,2026-06-05 08:45:00
B013,S007,小站点A,121.4800,31.2400,18,20,2026-06-05 08:50:00
B014,S007,小站点A,121.4800,31.2400,18,20,2026-06-05 08:50:00
B015,S008,未知容量站,121.4900,31.2500,5,0,2026-06-05 08:55:00
,bad_row,缺少bike_id,121.5000,31.2600,10,30,2026-06-05 09:00:00
B017,S010,数值异常站,121.5100,31.2700,abc,50,2026-06-05 09:05:00
B018,S011,新增站点,121.5200,31.2800,60,70,2026-06-05 09:10:00
