paper_id,reviewer_id,reviewer_name,reviewer_institution,conflicts,status,error_message,batch_id,source_file,source_line
P001,R002,李教授,北京大学,[],success,,B1780755860-2309E993,papers_single_success.csv,2
P001,R003,陈教授,复旦大学,[],success,,B1780755860-2309E993,papers_single_success.csv,2
P001,R004,刘教授,上海交通大学,[],success,,B1780755860-2309E993,papers_single_success.csv,2
P002,R001,王教授,清华大学,[],success,,B1780755860-2309E993,papers_single_success.csv,3
P002,R003,陈教授,复旦大学,[],success,,B1780755860-2309E993,papers_single_success.csv,3
P002,R004,刘教授,上海交通大学,[],success,,B1780755860-2309E993,papers_single_success.csv,3
P003,R001,王教授,清华大学,[],success,,B1780755860-2309E993,papers_single_success.csv,4
P003,R002,李教授,北京大学,[],success,,B1780755860-2309E993,papers_single_success.csv,4
P003,R004,刘教授,上海交通大学,[],success,,B1780755860-2309E993,papers_single_success.csv,4
P004,R001,王教授,清华大学,[],success,,B1780755860-2309E993,papers_single_success.csv,5
P004,R002,李教授,北京大学,[],success,,B1780755860-2309E993,papers_single_success.csv,5
P004,R003,陈教授,复旦大学,[],success,,B1780755860-2309E993,papers_single_success.csv,5
P005,R001,王教授,清华大学,[],success,,B1780755860-2309E993,papers_single_success.csv,6
P005,R002,李教授,北京大学,[],success,,B1780755860-2309E993,papers_single_success.csv,6
P005,R003,陈教授,复旦大学,[],success,,B1780755860-2309E993,papers_single_success.csv,6
