===== 种子批次发芽率分组统计报表 =====
生成时间: 2026-06-06 08:38:45

--- 按批次统计 ---
批次编号,品种编号,品种名称,记录数,种子总数,发芽总数,平均发芽率(%),最低发芽率(%),最高发芽率(%),综合发芽率(%),合格皿数,优秀皿数,合格率(%)
B202401001,V001,郑单958,3,300,275,91.67,88.0,95.0,91.67,3,2,100.0
B202401002,V002,登海605,2,200,160,80.0,78.0,82.0,80.0,0,0,0.0
B202401003,V003,先玉335,3,300,283,94.33,93.0,96.0,94.33,3,3,100.0
B202401004,V004,中黄37,3,150,136,90.67,86.0,96.0,90.67,3,2,100.0
B202401005,V005,绥农14,2,200,133,66.5,65.0,68.0,66.5,0,0,0.0
B202401006,V006,济麦22,3,300,265,88.33,87.0,90.0,88.33,3,1,100.0
B202401007,V007,扬麦13,1,100,89,89.0,89.0,89.0,89.0,1,0,100.0
B202401008,V001,郑单958,2,200,92,46.0,0.0,92.0,46.0,1,1,50.0
B202401009,V002,登海605,1,100,88,88.0,88.0,88.0,88.0,1,0,100.0
B202401010,V003,先玉335,1,100,91,91.0,91.0,91.0,91.0,1,1,100.0

--- 按品种统计 ---
品种编号,品种名称,作物类型,记录数,种子总数,发芽总数,平均发芽率(%),最低发芽率(%),最高发芽率(%),综合发芽率(%),合格皿数,优秀皿数,合格率(%)
V001,郑单958,玉米,5,500,367,73.4,0.0,95.0,73.4,4,3,80.0
V002,登海605,玉米,3,300,248,82.67,78.0,88.0,82.67,1,0,33.33
V003,先玉335,玉米,4,400,374,93.5,91.0,96.0,93.5,4,4,100.0
V004,中黄37,大豆,3,150,136,90.67,86.0,96.0,90.67,3,2,100.0
V005,绥农14,大豆,2,200,133,66.5,65.0,68.0,66.5,0,0,0.0
V006,济麦22,小麦,3,300,265,88.33,87.0,90.0,88.33,3,1,100.0
V007,扬麦13,小麦,1,100,89,89.0,89.0,89.0,89.0,1,0,100.0

--- 按作物类型统计 ---
作物类型,记录数,种子总数,发芽总数,平均发芽率(%),最低发芽率(%),最高发芽率(%),综合发芽率(%),合格皿数,优秀皿数,合格率(%)
大豆,5,350,269,81.0,65.0,96.0,76.86,3,2,60.0
小麦,4,400,354,88.5,87.0,90.0,88.5,4,1,100.0
玉米,12,1200,989,82.42,0.0,96.0,82.42,9,7,75.0
