序号,记录编号,批次编号,品种编号,品种名称,试验日期,培养皿编号,种子粒数,发芽粒数,发芽率(%),复核原因,复核状态,复核人,复核意见
1,R004,B202401002,V002,登海605,2024-01-15,P01,100,78,78.0,发芽率78.0%低于合格线85%,待复核,,
2,R005,B202401002,V002,登海605,2024-01-16,P02,100,82,82.0,发芽率82.0%低于合格线85%,待复核,,
3,R010,B202401004,V004,中黄37,2024-01-18,P01,50,45,90.0,种子粒数50偏离标准100,待复核,,
4,R011,B202401004,V004,中黄37,2024-01-18,P02,50,43,86.0,种子粒数50偏离标准100,待复核,,
5,R012,B202401004,V004,中黄37,2024-01-19,P03,50,48,96.0,种子粒数50偏离标准100,待复核,,
6,R013,B202401005,V005,绥农14,2024-01-20,P01,100,65,65.0,发芽率65.0%低于合格线85%,待复核,,
7,R014,B202401005,V005,绥农14,2024-01-20,P02,100,68,68.0,发芽率68.0%低于合格线85%,待复核,,
8,R022,B202401008,V001,郑单958,2024-01-25,P01,100,0,0.0,发芽率0.0%低于合格线85%,待复核,,
9,R006,B202401002,V002,登海605,2024-01-16,P03,,80,,数据质量问题: 种子粒数为空,待复核,,
10,R015,B202401005,V005,绥农14,2024-01-21,P03,100,105,105.0,数据质量问题: 发芽粒数105异常，不能超过种子粒数100,待复核,,
11,R001,B202401001,V001,郑单958,2024-01-15,P01,100,92,92.0,数据质量问题: 重复记录，共2条，此条为第2条,待复核,,
12,R019,B202401007,,,2024-01-24,P01,100,91,91.0,数据质量问题: 品种编号为空,待复核,,
13,R021,B202401007,V007,扬麦13,,P03,100,85,85.0,数据质量问题: 试验日期为空,待复核,,
14,R024,B202401008,V001,郑单958,2024-01-26,P03,1500,92,6.13,"数据质量问题: 种子粒数1500超出范围[1,1000]",待复核,,
15,R025,B202401009,V002,登海605,2024-01-27,P01,100,-5,-5.0,数据质量问题: 发芽粒数-5异常，不能超过种子粒数100,待复核,,
