记录编号,批次编号,品种编号,试验日期,培养皿编号,种子粒数,发芽粒数,试验员,备注
R001,B202401001,V001,2024-01-15,P01,100,92,张三,正常
R002,B202401001,V001,2024-01-15,P02,100,88,张三,正常
R003,B202401001,V001,2024-01-16,P03,100,95,李四,正常
R004,B202401002,V002,2024-01-15,P01,100,78,王五,偏低
R005,B202401002,V002,2024-01-16,P02,100,82,王五,正常
R006,B202401002,V002,2024-01-16,P03,,80,王五,种子粒数缺失
R007,B202401003,V003,2024-01-17,P01,100,96,赵六,优秀
R008,B202401003,V003,2024-01-17,P02,100,93,赵六,优秀
R009,B202401003,V003,2024-01-18,P03,100,94,赵六,正常
R010,B202401004,V004,2024-01-18,P01,50,45,孙七,大豆试验
R011,B202401004,V004,2024-01-18,P02,50,43,孙七,大豆试验
R012,B202401004,V004,2024-01-19,P03,50,48,孙七,优秀
R013,B202401005,V005,2024-01-20,P01,100,65,周八,不合格
R014,B202401005,V005,2024-01-20,P02,100,68,周八,不合格
R015,B202401005,V005,2024-01-21,P03,100,105,周八,发芽粒数越界
R016,B202401006,V006,2024-01-22,P01,100,88,吴九,正常
R017,B202401006,V006,2024-01-22,P02,100,90,吴九,优秀
R018,B202401006,V006,2024-01-23,P03,100,87,吴九,正常
R001,B202401001,V001,2024-01-15,P01,100,92,张三,重复记录
R019,B202401007,,2024-01-24,P01,100,91,郑十,品种缺失
R020,B202401007,V007,2024-01-24,P02,100,89,郑十,正常
R021,B202401007,V007,,P03,100,85,郑十,日期缺失
R022,B202401008,V001,2024-01-25,P01,100,0,冯十一,全部未发芽
R023,B202401008,V001,2024-01-25,P02,100,92,冯十一,正常
R024,B202401008,V001,2024-01-26,P03,1500,92,冯十一,种子粒数越界
R025,B202401009,V002,2024-01-27,P01,100,-5,陈十二,负数异常
R026,B202401009,V002,2024-01-27,P02,100,88,陈十二,正常
R027,B202401010,V003,2024-01-28,P01,100,91,,试验员缺失
