timestamp,kiln_id,clinker_code,f_cao,strength_3d,strength_28d,specific_surface,soundness,loss_on_ignition
2026-06-01 08:00:00,K1,P·O 42.5,1.8,26.5,48.2,365,合格,2.1
2026-06-01 12:00:00,K1,P·O 42.5,2.1,25.8,47.5,360,合格,2.3
2026-06-01 16:00:00,K1,P·O 42.5,1.9,27.1,49.0,368,合格,2.0
2026-06-01 20:00:00,K1,P·O 42.5,2.3,24.9,46.8,355,合格,2.5
2026-06-02 08:00:00,K1,P·O 42.5,2.0,26.2,48.0,362,合格,2.2
2026-06-02 12:00:00,K1,P·O 42.5,2.6,23.8,45.5,348,不合格,2.8
2026-06-02 16:00:00,K1,P·O 42.5,1.7,27.5,49.5,370,合格,1.9
2026-06-02 20:00:00,K1,P·O 42.5,2.2,25.5,47.2,358,合格,2.4
2026-06-03 08:00:00,K1,P·O 42.5,1.6,28.0,50.1,372,合格,1.8
2026-06-03 12:00:00,K1,P·O 42.5,2.0,26.0,47.8,360,合格,2.2
2026-06-01 08:00:00,K2,P·II 52.5,1.2,32.0,58.5,380,合格,1.5
2026-06-01 12:00:00,K2,P·II 52.5,1.4,31.2,57.8,375,合格,1.7
2026-06-01 16:00:00,K2,P·II 52.5,1.1,32.8,59.2,385,合格,1.4
2026-06-01 20:00:00,K2,P·II 52.5,1.6,30.5,56.5,370,合格,1.9
2026-06-02 08:00:00,K2,P·II 52.5,1.3,31.8,58.2,378,合格,1.6
2026-06-02 12:00:00,K2,P·II 52.5,1.8,29.8,55.0,365,不合格,2.1
2026-06-02 16:00:00,K2,P·II 52.5,1.0,33.2,60.0,388,合格,1.3
2026-06-02 20:00:00,K2,P·II 52.5,1.5,31.0,57.5,373,合格,1.8
2026-06-03 08:00:00,K2,P·II 52.5,0.9,33.8,60.8,392,合格,1.2
2026-06-03 12:00:00,K2,P·II 52.5,1.3,31.5,58.0,377,合格,1.6
2026-06-01 09:00:00,K1,P·C 32.5,2.5,18.5,35.8,330,合格,2.8
2026-06-01 15:00:00,K1,P·C 32.5,2.8,17.2,34.2,325,合格,3.1
2026-06-02 09:00:00,K1,P·C 32.5,2.3,19.2,36.5,335,合格,2.6
2026-06-02 15:00:00,K1,P·C 32.5,3.2,15.8,32.5,315,不合格,3.5
2026-06-03 09:00:00,K1,P·C 32.5,2.2,19.8,37.0,338,合格,2.5
