_line_num,timestamp,kiln_id,clinker_code,_abnormal_level,_abnormal_count,f_cao,strength_3d,strength_28d,specific_surface,soundness,loss_on_ignition,_abnormal_explanation
2,2026-06-01 08:00:00,K1,P·O 42.5,unknown,5,1.8,26.5,48.2,365,合格,2.1,【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标strength_28d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
3,2026-06-01 12:00:00,K1,P·O 42.5,warning,6,2.1,25.8,47.5,360,合格,2.3,【预警】游离氧化钙=2.1%，超过预警上限2.0%，超出0.10%。f-CaO过高会导致水泥安定性不良 | 【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标strength_28d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
4,2026-06-01 16:00:00,K1,P·O 42.5,unknown,5,1.9,27.1,49.0,368,合格,2.0,【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标strength_28d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
5,2026-06-01 20:00:00,K1,P·O 42.5,warning,6,2.3,24.9,46.8,355,合格,2.5,【预警】游离氧化钙=2.3%，超过预警上限2.0%，超出0.30%。f-CaO过高会导致水泥安定性不良 | 【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标strength_28d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
6,2026-06-02 08:00:00,K1,P·O 42.5,unknown,5,2.0,26.2,48.0,362,合格,2.2,【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标strength_28d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
7,2026-06-02 12:00:00,K1,P·O 42.5,critical,6,2.6,23.8,45.5,348,不合格,2.8,【严重】游离氧化钙=2.6%，超过严重上限2.5%，超出0.10%。f-CaO过高会导致水泥安定性不良 | 【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标strength_28d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
8,2026-06-02 16:00:00,K1,P·O 42.5,unknown,5,1.7,27.5,49.5,370,合格,1.9,【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标strength_28d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
9,2026-06-02 20:00:00,K1,P·O 42.5,warning,6,2.2,25.5,47.2,358,合格,2.4,【预警】游离氧化钙=2.2%，超过预警上限2.0%，超出0.20%。f-CaO过高会导致水泥安定性不良 | 【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标strength_28d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
10,2026-06-03 08:00:00,K1,P·O 42.5,unknown,5,1.6,28.0,50.1,372,合格,1.8,【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标strength_28d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
11,2026-06-03 12:00:00,K1,P·O 42.5,unknown,5,2.0,26.0,47.8,360,合格,2.2,【配置缺失】指标strength_3d无阈值配置 | 【配置缺失】指标strength_28d无阈值配置 | 【配置缺失】指标specific_surface无阈值配置 | 【配置缺失】指标loss_on_ignition无阈值配置 | 【配置缺失】指标soundness无阈值配置
