order_id,title,priority,order_type,department,assignee,create_time,assign_time,resolve_time,close_time,status,description
WO0001,生产数据库宕机,P0,INC,D002,运维小王,2026-06-01 08:30:00,2026-06-01 08:45:00,2026-06-01 12:00:00,2026-06-01 14:00:00,CLOSED,紧急故障
WO0002,登录功能异常,P1,INC,D001,开发小李,2026-06-01 09:00:00,2026-06-01 10:30:00,2026-06-02 16:00:00,2026-06-02 18:00:00,CLOSED,正常处理
WO0003,报表导出慢,P2,INC,D003,客服小张,2026-06-01 10:00:00,2026-06-01 14:00:00,2026-06-04 10:00:00,2026-06-04 12:00:00,CLOSED,一般问题
WO0004,界面优化建议,P3,REQ,D004,测试小陈,2026-06-02 09:00:00,2026-06-02 16:00:00,,2026-06-08 10:00:00,CLOSED,建议类
WO0005,密码重置申请,P2,REQ,D003,客服小王,2026-06-02 11:00:00,2026-06-02 12:00:00,2026-06-03 10:00:00,2026-06-03 12:00:00,CLOSED,快速处理
WO0006,系统升级变更,P1,CHG,D002,运维小李,2026-06-03 09:00:00,2026-06-03 10:00:00,2026-06-05 18:00:00,2026-06-06 09:00:00,CLOSED,变更单
WO0007,频繁掉线问题分析,P2,PRB,D001,开发小王,2026-06-03 14:00:00,2026-06-03 15:00:00,,2026-06-08 14:00:00,CLOSED,问题单
WO0008,严重性能问题,P0,INC,D002,运维老张,2026-06-04 08:00:00,2026-06-04 09:00:00,,,IN_PROGRESS,处理中-已超时
WO0009,接口报错问题,P1,INC,D001,开发小赵,2026-06-04 10:00:00,,,,NEW,新建未分配
WO0010,用户咨询,P3,REQ,D003,客服小李,2026-06-04 14:00:00,2026-06-04 15:00:00,2026-06-05 10:00:00,2026-06-05 12:00:00,CLOSED,正常
WO0011,紧急补丁变更,P0,CHG,D002,运维小王,2026-06-05 08:00:00,2026-06-05 08:30:00,2026-06-05 20:00:00,2026-06-06 09:00:00,CLOSED,紧急变更
WO0012,批量处理错误,P2,INC,D001,开发小陈,2026-06-05 09:00:00,2026-06-05 18:00:00,,,IN_PROGRESS,响应超时
WO0013,数据迁移问题,P3,PRB,D004,测试小王,2026-06-05 11:00:00,2026-06-06 11:00:00,,2026-06-10 10:00:00,CLOSED,问题单
WO0014,权限申请,P2,REQ,D003,客服小张,2026-06-05 14:00:00,2026-06-06 10:00:00,2026-06-06 16:00:00,2026-06-06 18:00:00,CLOSED,响应略慢
WO0015,磁盘空间告警,P1,INC,D002,运维小李,2026-06-06 08:00:00,2026-06-06 09:30:00,,,IN_PROGRESS,处理中
WO0016,严重安全漏洞,P0,INC,D001,开发老张,2026-06-06 09:00:00,2026-06-06 09:10:00,,,IN_PROGRESS,紧急处理
WO0017,测试环境部署,P3,CHG,D004,测试小赵,2026-06-06 10:00:00,,,,ASSIGNED,已分配
WO0018,用户反馈卡顿,P2,INC,D003,客服小王,2026-06-06 11:00:00,2026-06-06 13:00:00,,2026-06-09 16:00:00,CLOSED,已解决
WO0019,需求变更申请,P1,REQ,D001,开发小李,2026-06-06 14:00:00,2026-06-06 16:00:00,,,IN_PROGRESS,处理中
WO0020,报表数据错误,P2,PRB,D004,测试小陈,2026-06-06 16:00:00,,,,NEW,新建
WO0021,支付功能异常,P0,INC,D001,开发小王,2026-06-03 10:00:00,2026-06-03 10:30:00,2026-06-03 15:00:00,2026-06-03 18:00:00,CLOSED,快速解决
WO0022,邮件发送失败,P1,INC,D002,运维小张,2026-06-04 16:00:00,2026-06-04 17:00:00,2026-06-05 14:00:00,2026-06-05 16:00:00,CLOSED,已解决
WO0023,打印功能异常,P2,REQ,D003,客服小李,2026-06-05 09:30:00,2026-06-05 11:00:00,2026-06-06 09:00:00,2026-06-06 11:00:00,CLOSED,正常
WO0024,系统登录慢,P3,INC,D004,测试小王,2026-06-05 14:30:00,2026-06-06 09:00:00,2026-06-09 10:00:00,2026-06-09 12:00:00,CLOSED,已解决
WO0025,账号解锁申请,P2,REQ,D003,客服小张,2026-06-06 08:30:00,2026-06-06 09:00:00,2026-06-06 10:30:00,2026-06-06 12:00:00,CLOSED,快速处理
WO0026,生产数据库性能问题,P0,PRB,D001,开发老张,2026-06-06 10:00:00,2026-06-06 10:20:00,,,IN_PROGRESS,严重问题
WO0027,功能优化建议,P3,REQ,D004,测试小陈,2026-06-06 11:30:00,2026-06-06 15:00:00,,,PENDING,待确认
WO0028,网络波动问题,P1,INC,D002,运维小李,2026-06-06 13:00:00,2026-06-06 14:00:00,,,IN_PROGRESS,处理中
WO0029,用户权限调整,P2,CHG,D003,客服小王,2026-06-06 14:30:00,2026-06-06 16:00:00,,,ASSIGNED,已分配
WO0030,数据备份失败,P1,INC,D002,运维小王,2026-06-06 15:00:00,2026-06-06 16:30:00,,,IN_PROGRESS,处理中
WO0031,严重逾期测试,P2,INC,D001,,,2026-06-01 09:00:00,,,,,缺字段-无优先级类型
WO0032,缺部门的工单,P2,INC,,客服小李,2026-06-02 10:00:00,2026-06-02 11:00:00,2026-06-03 10:00:00,2026-06-03 12:00:00,CLOSED,缺部门
WO0033,无创建时间的工单,P1,INC,D002,运维小张,,,,,,缺创建时间
WO0034,状态未知的工单,P3,REQ,D003,客服小王,2026-06-03 09:00:00,2026-06-03 10:00:00,2026-06-04 10:00:00,2026-06-04 12:00:00,UNKNOWN,状态异常
WO0035,重复工单A,P2,INC,D001,开发小李,2026-06-04 09:00:00,2026-06-04 10:00:00,2026-06-05 10:00:00,2026-06-05 12:00:00,CLOSED,重复处理-主单
WO0036,重复工单B,P2,INC,D001,开发小李,2026-06-04 09:05:00,2026-06-04 10:00:00,2026-06-05 09:30:00,2026-06-05 11:00:00,CLOSED,重复处理-副单
WO0037,紧急严重逾期,P0,INC,D002,运维老张,2026-05-28 08:00:00,2026-05-28 10:00:00,,,IN_PROGRESS,严重逾期未解决
WO0038,预警状态工单,P2,INC,D003,客服小张,2026-06-05 16:00:00,2026-06-06 08:00:00,,,IN_PROGRESS,接近预警
WO0039,正常关闭的P3请求,P3,REQ,D004,测试小赵,2026-06-04 09:00:00,2026-06-04 10:00:00,2026-06-06 16:00:00,2026-06-06 18:00:00,CLOSED,正常
WO0040,缺少处理人工单,P1,CHG,D002,,2026-06-05 09:00:00,,,,NEW,缺处理人
WO0041,P0变更单测试,P0,INC,D001,开发小王,2026-06-06 07:00:00,2026-06-06 07:30:00,2026-06-06 12:00:00,2026-06-06 14:00:00,CLOSED,P0故障快速响应
WO0042,长时间未处理,P3,INC,D004,测试小陈,2026-05-20 09:00:00,2026-05-20 16:00:00,,,IN_PROGRESS,严重逾期
WO0043,生产数据库宕机,P0,INC,D002,运维小王,2026-06-01 08:32:00,2026-06-01 08:50:00,2026-06-01 12:10:00,2026-06-01 14:20:00,CLOSED,紧急故障
WO0044,只有创建时间,P2,REQ,D003,客服小李,2026-06-06 10:00:00,,,,NEW,新建未分配
WO0045,快速响应慢解决,P1,INC,D001,开发小赵,2026-06-06 08:00:00,2026-06-06 08:30:00,,,IN_PROGRESS,响应快但解决慢
