log_id,timestamp,order_id,action,detail,level
LOG000001,2026-06-06 08:44:39,SYSTEM,LOAD_ORDERS,加载原始工单 45 条,INFO
LOG000002,2026-06-06 08:44:39,SYSTEM,BATCH_START,开始批量处理 45 条工单,INFO
LOG000003,2026-06-06 08:44:39,WO0001,PROCESS_START,开始处理工单 WO0001,INFO
LOG000004,2026-06-06 08:44:39,WO0001,RULE_SELECTED,选用规则: R001 - 紧急故障响应SLA,INFO
LOG000005,2026-06-06 08:44:39,WO0001,RISK_ASSESS,"响应风险: NORMAL, 解决风险: WARNING, 综合风险: WARNING",INFO
LOG000006,2026-06-06 08:44:39,WO0001,PROCESS_END,工单处理完成，风险等级: WARNING,INFO
LOG000007,2026-06-06 08:44:39,WO0002,PROCESS_START,开始处理工单 WO0002,INFO
LOG000008,2026-06-06 08:44:39,WO0002,RULE_SELECTED,选用规则: R002 - 高级故障响应SLA,INFO
LOG000009,2026-06-06 08:44:39,WO0002,RISK_ASSESS,"响应风险: NORMAL, 解决风险: OVERDUE, 综合风险: OVERDUE",INFO
LOG000010,2026-06-06 08:44:39,WO0002,PROCESS_END,工单处理完成，风险等级: OVERDUE,INFO
LOG000011,2026-06-06 08:44:39,WO0003,PROCESS_START,开始处理工单 WO0003,INFO
LOG000012,2026-06-06 08:44:39,WO0003,RULE_CONFLICT,"匹配到 3 条规则，存在冲突: ['R003', 'R010', 'R011']",ERROR
LOG000013,2026-06-06 08:44:39,WO0003,RULE_SELECTED,选用规则: R011 - P2故障单VIP版,INFO
LOG000014,2026-06-06 08:44:39,WO0003,RISK_ASSESS,"响应风险: SEVERE, 解决风险: SEVERE, 综合风险: SEVERE",INFO
LOG000015,2026-06-06 08:44:39,WO0003,PROCESS_END,工单处理完成，风险等级: SEVERE,INFO
LOG000016,2026-06-06 08:44:39,WO0004,PROCESS_START,开始处理工单 WO0004,INFO
LOG000017,2026-06-06 08:44:39,WO0004,RULE_SELECTED,选用规则: R008 - P3服务请求SLA,INFO
LOG000018,2026-06-06 08:44:39,WO0004,RISK_ASSESS,"响应风险: NORMAL, 解决风险: UNKNOWN, 综合风险: NORMAL",INFO
LOG000019,2026-06-06 08:44:39,WO0004,PROCESS_END,工单处理完成，风险等级: NORMAL,INFO
LOG000020,2026-06-06 08:44:39,WO0005,PROCESS_START,开始处理工单 WO0005,INFO
LOG000021,2026-06-06 08:44:39,WO0005,RULE_SELECTED,选用规则: R005 - 服务请求SLA,INFO
LOG000022,2026-06-06 08:44:39,WO0005,RISK_ASSESS,"响应风险: NORMAL, 解决风险: NORMAL, 综合风险: NORMAL",INFO
