tunnel_id,direction,lighting_zone,风险等级,风险等级(英文),置信度,记录数,设备数,平均亮度(lux),亮度最小值(lux),亮度最大值(lux),平均功率(W),故障率(%),闪烁次数(次/小时),主要原因,阈值命中项,时间窗口,是否需复核,历史窗口数
T001,东向,中部区,高风险,high,0.90,2,2,114.5,30.5,198.5,287.7,50.00,38.0,平均功率 287.7 W 低于中风险阈值 300 W; 故障率 50.00% 超过高风险阈值 10.0%; 闪烁次数 38.0 次/小时 超过高风险阈值 30 次,"brightness, power, failure_rate, flicker_count, baseline_deviation",2024-01-01T10:00:00 ~ 2024-01-01T11:00:00,是,4
T001,东向,入口区,高风险,high,0.90,2,2,175.3,172.5,178.2,440.6,0.00,1.0,与历史基线偏差 100.0%，超过临界阈值,baseline_deviation,2024-01-01T10:00:00 ~ 2024-01-01T11:00:00,是,4
T001,东向,出口区,高风险,high,0.90,2,2,100.6,42.8,158.3,245.5,50.00,34.0,平均功率 245.5 W 低于中风险阈值 300 W; 故障率 50.00% 超过高风险阈值 10.0%; 闪烁次数 34.0 次/小时 超过高风险阈值 30 次,"brightness, power, failure_rate, flicker_count, baseline_deviation",2024-01-01T10:00:00 ~ 2024-01-01T11:00:00,是,4
T001,西向,中部区,高风险,high,0.90,2,2,135.3,82.1,188.5,317.9,0.00,19.0,闪烁次数 19.0 次/小时 超过中风险阈值 10 次; 与历史基线偏差 692.0%，超过临界阈值,"brightness, flicker_count, baseline_deviation",2024-01-01T10:30:00 ~ 2024-01-01T11:30:00,是,4
T001,西向,入口区,高风险,high,0.90,2,2,165.8,163.2,168.5,424.4,0.00,0.0,与历史基线偏差 100.0%，超过临界阈值,baseline_deviation,2024-01-01T10:30:00 ~ 2024-01-01T11:30:00,是,4
T001,西向,出口区,高风险,high,0.90,2,2,150.8,148.2,153.5,400.6,0.00,1.0,与历史基线偏差 100.0%，超过临界阈值,baseline_deviation,2024-01-01T10:30:00 ~ 2024-01-01T11:30:00,是,4
T002,东向,中部区,高风险,high,0.90,2,2,218.2,215.5,220.8,575.5,0.00,0.0,与历史基线偏差 100.0%，超过临界阈值,baseline_deviation,2024-01-01T09:00:00 ~ 2024-01-01T10:00:00,是,2
T002,东向,入口区,高风险,high,0.90,2,2,207.8,205.0,210.5,545.2,0.00,0.0,与历史基线偏差 100.0%，超过临界阈值,baseline_deviation,2024-01-01T09:00:00 ~ 2024-01-01T10:00:00,是,2
T002,东向,出口区,高风险,high,0.90,2,2,192.7,190.0,195.3,497.8,0.00,1.0,与历史基线偏差 100.0%，超过临界阈值,baseline_deviation,2024-01-01T09:00:00 ~ 2024-01-01T10:00:00,是,2
T002,西向,中部区,高风险,high,0.90,2,2,75.3,30.2,120.5,165.3,50.00,50.0,平均亮度 75.3 lux 低于中风险阈值 100 lux; 平均功率 165.3 W 低于中风险阈值 300 W; 故障率 50.00% 超过高风险阈值 10.0%,"brightness, power, failure_rate, flicker_count, baseline_deviation",2024-01-01T09:30:00 ~ 2024-01-01T10:30:00,是,2
T002,西向,入口区,高风险,high,0.90,2,2,198.2,195.8,200.5,515.5,0.00,0.0,与历史基线偏差 100.0%，超过临界阈值,baseline_deviation,2024-01-01T09:30:00 ~ 2024-01-01T10:30:00,是,2
T002,西向,出口区,高风险,high,0.90,2,2,182.8,180.5,185.0,475.4,0.00,1.0,与历史基线偏差 100.0%，超过临界阈值,baseline_deviation,2024-01-01T09:30:00 ~ 2024-01-01T10:30:00,是,2
T003,东向,中部区,中风险,medium,0.80,2,2,162.8,95.5,230.2,405.6,0.00,12.0,闪烁次数 12.0 次/小时 超过中风险阈值 10 次,flicker_count,2024-01-01T12:00:00 ~ 2024-01-01T13:00:00,否,2
T003,东向,入口区,低风险,low,0.90,2,2,218.2,215.8,220.5,575.2,0.00,0.0,各项指标均在正常范围内,,2024-01-01T12:00:00 ~ 2024-01-01T13:00:00,否,2
T003,东向,出口区,低风险,low,0.90,2,2,202.7,200.0,205.3,532.9,0.00,1.0,各项指标均在正常范围内,,2024-01-01T12:00:00 ~ 2024-01-01T13:00:00,否,2
T003,西向,中部区,高风险,high,0.90,2,2,125.5,25.3,225.6,317.9,50.00,45.0,故障率 50.00% 超过高风险阈值 10.0%; 闪烁次数 45.0 次/小时 超过高风险阈值 30 次,"brightness, failure_rate, flicker_count",2024-01-01T12:30:00 ~ 2024-01-01T13:30:00,是,2
T003,西向,入口区,低风险,low,0.90,2,2,208.2,205.5,210.8,548.1,0.00,0.0,各项指标均在正常范围内,,2024-01-01T12:30:00 ~ 2024-01-01T13:30:00,否,2
T004,东向,中部区,无法判定,undetermined,0.20,1,1,80.0,80.0,80.0,180.5,0.00,8.0,数据不足，无法判定风险等级,"brightness, power",2024-01-01T14:00:00 ~ 2024-01-01T15:00:00,是,2
T004,东向,入口区,无法判定,undetermined,0.20,1,1,160.5,160.5,160.5,420.3,0.00,0.0,数据不足，无法判定风险等级,,2024-01-01T14:00:00 ~ 2024-01-01T15:00:00,是,2
T004,东向,出口区,无法判定,undetermined,0.20,1,1,25.5,25.5,25.5,45.2,100.00,40.0,数据不足，无法判定风险等级,"brightness, power, failure_rate, flicker_count",2024-01-01T14:00:00 ~ 2024-01-01T15:00:00,是,2
T005,东向,中部区,中风险,medium,0.80,2,2,97.8,65.0,130.5,220.2,0.00,25.0,平均亮度 97.8 lux 低于中风险阈值 100 lux; 平均功率 220.2 W 低于中风险阈值 300 W; 闪烁次数 25.0 次/小时 超过中风险阈值 10 次,"brightness, power, flicker_count",2024-01-01T14:30:00 ~ 2024-01-01T15:30:00,是,2
T005,东向,入口区,低风险,low,0.90,2,1,173.5,172.0,175.0,457.5,0.00,1.0,各项指标均在正常范围内,,2024-01-01T14:30:00 ~ 2024-01-01T15:30:00,否,2
T005,西向,出口区,无法判定,undetermined,0.20,1,1,150.0,150.0,150.0,400.0,0.00,0.0,数据不足，无法判定风险等级,,2024-01-01T14:30:00 ~ 2024-01-01T15:30:00,是,2
T006,东向,中部区,低风险,low,0.90,2,2,207.5,205.0,210.0,545.0,0.00,0.0,各项指标均在正常范围内,,2024-01-01T15:00:00 ~ 2024-01-01T16:00:00,否,2
T006,东向,入口区,低风险,low,0.90,2,2,197.5,195.0,200.0,515.0,0.00,0.0,各项指标均在正常范围内,,2024-01-01T15:00:00 ~ 2024-01-01T16:00:00,否,2
T006,东向,出口区,低风险,low,0.90,2,2,182.5,180.0,185.0,485.0,0.00,1.0,各项指标均在正常范围内,,2024-01-01T15:00:00 ~ 2024-01-01T16:00:00,否,2
T006,西向,中部区,低风险,low,0.90,2,2,199.0,198.0,200.0,527.5,0.00,0.0,各项指标均在正常范围内,,2024-01-01T15:30:00 ~ 2024-01-01T16:30:00,否,2
T006,西向,入口区,低风险,low,0.90,2,2,189.0,188.0,190.0,497.5,0.00,0.0,各项指标均在正常范围内,,2024-01-01T15:30:00 ~ 2024-01-01T16:30:00,否,2
T006,西向,出口区,低风险,low,0.90,2,2,173.5,172.0,175.0,462.5,0.00,1.0,各项指标均在正常范围内,,2024-01-01T15:30:00 ~ 2024-01-01T16:30:00,否,2
