tunnel_id,direction,lighting_zone,风险等级,置信度,需复核原因,主要问题,平均亮度(lux),平均功率(W),故障率(%),闪烁次数,时间窗口,复核人,复核结论,备注
T005,东向,中部区,中风险,0.80,多阈值命中(3项),平均亮度 97.8 lux 低于中风险阈值 100 lux; 平均功率 220.2 W 低于中风险阈值 300 W; 闪烁次数 25.0 次/小时 超过中风险阈值 10 次,97.8,220.2,0.00,25.0,2024-01-01T14:30:00 ~ 2024-01-01T15:30:00,,,
T004,东向,入口区,无法判定,0.20,无法判定; 置信度低(0.20),数据不足，无法判定风险等级,160.5,420.3,0.00,0.0,2024-01-01T14:00:00 ~ 2024-01-01T15:00:00,,,
T004,东向,中部区,无法判定,0.20,无法判定; 置信度低(0.20),数据不足，无法判定风险等级,80.0,180.5,0.00,8.0,2024-01-01T14:00:00 ~ 2024-01-01T15:00:00,,,
T004,东向,出口区,无法判定,0.20,无法判定; 置信度低(0.20); 多阈值命中(4项),数据不足，无法判定风险等级,25.5,45.2,100.00,40.0,2024-01-01T14:00:00 ~ 2024-01-01T15:00:00,,,
T005,西向,出口区,无法判定,0.20,无法判定; 置信度低(0.20),数据不足，无法判定风险等级,150.0,400.0,0.00,0.0,2024-01-01T14:30:00 ~ 2024-01-01T15:30:00,,,
T001,东向,入口区,高风险,0.90,高风险,与历史基线偏差 100.0%，超过临界阈值,175.3,440.6,0.00,1.0,2024-01-01T10:00:00 ~ 2024-01-01T11:00:00,,,
T001,东向,中部区,高风险,0.90,高风险; 多阈值命中(5项),平均功率 287.7 W 低于中风险阈值 300 W; 故障率 50.00% 超过高风险阈值 10.0%; 闪烁次数 38.0 次/小时 超过高风险阈值 30 次,114.5,287.7,50.00,38.0,2024-01-01T10:00:00 ~ 2024-01-01T11:00:00,,,
T001,东向,出口区,高风险,0.90,高风险; 多阈值命中(5项),平均功率 245.5 W 低于中风险阈值 300 W; 故障率 50.00% 超过高风险阈值 10.0%; 闪烁次数 34.0 次/小时 超过高风险阈值 30 次,100.6,245.5,50.00,34.0,2024-01-01T10:00:00 ~ 2024-01-01T11:00:00,,,
T001,西向,入口区,高风险,0.90,高风险,与历史基线偏差 100.0%，超过临界阈值,165.8,424.4,0.00,0.0,2024-01-01T10:30:00 ~ 2024-01-01T11:30:00,,,
T001,西向,中部区,高风险,0.90,高风险; 多阈值命中(3项),闪烁次数 19.0 次/小时 超过中风险阈值 10 次; 与历史基线偏差 692.0%，超过临界阈值,135.3,317.9,0.00,19.0,2024-01-01T10:30:00 ~ 2024-01-01T11:30:00,,,
T001,西向,出口区,高风险,0.90,高风险,与历史基线偏差 100.0%，超过临界阈值,150.8,400.6,0.00,1.0,2024-01-01T10:30:00 ~ 2024-01-01T11:30:00,,,
T002,东向,入口区,高风险,0.90,高风险,与历史基线偏差 100.0%，超过临界阈值,207.8,545.2,0.00,0.0,2024-01-01T09:00:00 ~ 2024-01-01T10:00:00,,,
T002,东向,中部区,高风险,0.90,高风险,与历史基线偏差 100.0%，超过临界阈值,218.2,575.5,0.00,0.0,2024-01-01T09:00:00 ~ 2024-01-01T10:00:00,,,
T002,东向,出口区,高风险,0.90,高风险,与历史基线偏差 100.0%，超过临界阈值,192.7,497.8,0.00,1.0,2024-01-01T09:00:00 ~ 2024-01-01T10:00:00,,,
T002,西向,入口区,高风险,0.90,高风险,与历史基线偏差 100.0%，超过临界阈值,198.2,515.5,0.00,0.0,2024-01-01T09:30:00 ~ 2024-01-01T10:30:00,,,
T002,西向,中部区,高风险,0.90,高风险; 多阈值命中(5项),平均亮度 75.3 lux 低于中风险阈值 100 lux; 平均功率 165.3 W 低于中风险阈值 300 W; 故障率 50.00% 超过高风险阈值 10.0%,75.3,165.3,50.00,50.0,2024-01-01T09:30:00 ~ 2024-01-01T10:30:00,,,
T002,西向,出口区,高风险,0.90,高风险,与历史基线偏差 100.0%，超过临界阈值,182.8,475.4,0.00,1.0,2024-01-01T09:30:00 ~ 2024-01-01T10:30:00,,,
T003,西向,中部区,高风险,0.90,高风险; 多阈值命中(3项),故障率 50.00% 超过高风险阈值 10.0%; 闪烁次数 45.0 次/小时 超过高风险阈值 30 次,125.5,317.9,50.00,45.0,2024-01-01T12:30:00 ~ 2024-01-01T13:30:00,,,
