item_id,name,category,quantity,weight_kg,volume_cbm,value,fragile,need_packing,special_handling,source,remark,trace_id,batch_no
ITEM001,三人沙发,家具,1,85.5,2.5,3500.0,False,True,需拆卸搬运,北京-朝阳仓,客厅主沙发,053595EF0514C960,B20260606125410A41917
ITEM002,餐桌套装,家具,1,65.0,1.8,2800.0,False,True,玻璃桌面需保护,北京-朝阳仓,含6把餐椅,CE0BB76C2FEFA571,B20260606125410A41917
ITEM003,对开门冰箱,电器,1,120.0,1.2,8500.0,False,True,立放运输，不能倒置,北京-朝阳仓,需提前断电,2A62215954E00C09,B20260606125410A41917
ITEM004,55寸液晶电视,电器,2,18.5,0.5,4200.0,True,True,屏幕需特殊保护,北京-朝阳仓,客厅和卧室各一台,3A85D94F6C73415D,B20260606125410A41917
ITEM005,羽绒服收纳箱,衣物,5,12.0,0.8,2000.0,False,True,,北京-朝阳仓,冬季衣物,EF14799BD5351038,B20260606125410A41917
ITEM006,骨瓷餐具套装,厨房用品,1,15.0,0.3,1800.0,True,True,易碎品，轻拿轻放,北京-朝阳仓,12人份餐具,979A38A1B90B6DBD,B20260606125410A41917
ITEM007,精装书箱,书籍,8,25.0,0.4,3200.0,False,True,注意防潮,北京-朝阳仓,书房藏书,8E7AC1068D90B0C8,B20260606125410A41917
ITEM008,陶瓷花瓶,装饰品,3,8.0,0.2,5600.0,True,True,易碎品，单独包装,北京-朝阳仓,客厅装饰品,9C36348219998D5E,B20260606125410A41917
ITEM009,实木衣柜,家具,2,150.0,3.0,6800.0,False,True,需专业拆装,北京-朝阳仓,卧室衣柜,46D231F39C28C31A,B20260606125410A41917
ITEM010,洗衣机,电器,1,75.0,0.6,3200.0,False,True,需排空积水,北京-朝阳仓,滚筒洗衣机,CD6CD0EC06B83B7D,B20260606125410A41917
