类别,项目,数值,说明
基础统计,物品总数,10,
基础统计,总数量,25,
基础统计,总重量(kg),981.5,
基础统计,总体积(cbm),21.2,
基础统计,总价值,94200.0,
基础统计,易碎品数量,3,
基础统计,需打包数量,10,
基础统计,错误数,0,
基础统计,警告数,0,
品类-家具,数量,4,
品类-家具,重量(kg),450.5,
品类-家具,体积(cbm),10.3,
品类-家具,价值,19900.0,
品类-电器,数量,4,
品类-电器,重量(kg),232.0,
品类-电器,体积(cbm),2.8000000000000003,
品类-电器,价值,20100.0,
品类-衣物,数量,5,
品类-衣物,重量(kg),60.0,
品类-衣物,体积(cbm),4.0,
品类-衣物,价值,10000.0,
品类-厨房用品,数量,1,
品类-厨房用品,重量(kg),15.0,
品类-厨房用品,体积(cbm),0.3,
品类-厨房用品,价值,1800.0,
品类-书籍,数量,8,
品类-书籍,重量(kg),200.0,
品类-书籍,体积(cbm),3.2,
品类-书籍,价值,25600.0,
品类-装饰品,数量,3,
品类-装饰品,重量(kg),24.0,
品类-装饰品,体积(cbm),0.6000000000000001,
品类-装饰品,价值,16800.0,
元数据,items_hash,ccf77f830c37eb9f1a57bc9d5181358deb6e491800d60839c767d20a53edcc04,用于幂等性校验
元数据,config_hash,27f5342f5ca647399ed01cf7ab5b66595d0d3b5796915a1607e8c46ef8e0b01f,用于幂等性校验
元数据,filters_hash,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,用于幂等性校验
元数据,source,北京-朝阳仓,用于幂等性校验
