记录ID,站点ID,站点名称,区域,部门,状态,校准日期,超阈值参数数量,缺失材料数量,原因详情,超阈值详情,缺失材料,时间窗口说明,分组维度说明
REC-O-0003,ST004,西城区少年宫微站,西城区,设备运维科,超阈值,2026-05-01,2,0,一氧化碳测量值 7.35mg/m³ 超过上限阈值 4.0mg/m³，超出比例 83.75%; 臭氧测量值 143.46μg/m³ 超过上限阈值 100.0μg/m³，超出比例 43.46%,"一氧化碳: 7.35mg/m³(阈值4.0mg/m³, 超83.75%); 臭氧: 143.46μg/m³(阈值100.0μg/m³, 超43.46%)",,"记录日期 2026-05-01 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 0 天，距窗口终点 30 天，窗口长度 7 天","分组维度[站点: 西城区少年宫微站(ST004), 区域: 西城区, 部门: 设备运维科]"
REC-M-0003,ST008,海淀区美术馆微站,海淀区,设备运维科,材料缺失,2026-05-01,0,2,缺少校准材料: 维护日志; 缺少校准材料: 标气记录,,"维护日志, 标气记录","记录日期 2026-05-01 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 0 天，距窗口终点 30 天，窗口长度 7 天","分组维度[站点: 海淀区美术馆微站(ST008), 区域: 海淀区, 部门: 设备运维科]"
REC-O-0002,ST005,朝阳区博物馆微站,朝阳区,监测一科,超阈值,2026-05-02,3,0,PM10测量值 112.78μg/m³ 超过上限阈值 70.0μg/m³，超出比例 61.11%; 二氧化硫测量值 82.35μg/m³ 超过上限阈值 50.0μg/m³，超出比例 64.7%; 臭氧测量值 164.2μg/m³ 超过上限阈值 100.0μg/m³，超出比例 64.2%,"PM10: 112.78μg/m³(阈值70.0μg/m³, 超61.11%); 二氧化硫: 82.35μg/m³(阈值50.0μg/m³, 超64.7%); 臭氧: 164.2μg/m³(阈值100.0μg/m³, 超64.2%)",,"记录日期 2026-05-02 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 1 天，距窗口终点 29 天，窗口长度 7 天","分组维度[站点: 朝阳区博物馆微站(ST005), 区域: 朝阳区, 部门: 监测一科]"
REC-X-0002,ST007,海淀区科技馆微站,海淀区,质量控制科,待审核,2026-05-03,1,2,臭氧测量值 124.18μg/m³ 超过上限阈值 100.0μg/m³，超出比例 24.18%; 缺少校准材料: 流量记录; 缺少校准材料: 标气记录,"臭氧: 124.18μg/m³(阈值100.0μg/m³, 超24.18%)","流量记录, 标气记录","记录日期 2026-05-03 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 2 天，距窗口终点 28 天，窗口长度 7 天","分组维度[站点: 海淀区科技馆微站(ST007), 区域: 海淀区, 部门: 质量控制科]"
REC-M-0001,ST002,东城区文化馆微站,东城区,监测二科,材料缺失,2026-05-17,0,2,缺少校准材料: 维护日志; 缺少校准材料: 流量记录,,"维护日志, 流量记录","记录日期 2026-05-17 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 16 天，距窗口终点 14 天，窗口长度 7 天","分组维度[站点: 东城区文化馆微站(ST002), 区域: 东城区, 部门: 监测二科]"
REC-M-0002,ST009,丰台区文化中心微站,丰台区,监测一科,材料缺失,2026-05-19,0,2,缺少校准材料: 维护日志; 缺少校准材料: 流量记录,,"维护日志, 流量记录","记录日期 2026-05-19 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 18 天，距窗口终点 12 天，窗口长度 7 天","分组维度[站点: 丰台区文化中心微站(ST009), 区域: 丰台区, 部门: 监测一科]"
REC-X-0001,ST001,东城区第一小学微站,东城区,监测一科,待审核,2026-05-21,1,2,二氧化硫测量值 78.05μg/m³ 超过上限阈值 50.0μg/m³，超出比例 56.1%; 缺少校准材料: 校准证书; 缺少校准材料: 零跨记录,"二氧化硫: 78.05μg/m³(阈值50.0μg/m³, 超56.1%)","校准证书, 零跨记录","记录日期 2026-05-21 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 20 天，距窗口终点 10 天，窗口长度 7 天","分组维度[站点: 东城区第一小学微站(ST001), 区域: 东城区, 部门: 监测一科]"
REC-O-0001,ST004,西城区少年宫微站,西城区,设备运维科,超阈值,2026-05-23,1,0,二氧化氮测量值 57.0μg/m³ 超过上限阈值 40.0μg/m³，超出比例 42.5%,"二氧化氮: 57.0μg/m³(阈值40.0μg/m³, 超42.5%)",,"记录日期 2026-05-23 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 22 天，距窗口终点 8 天，窗口长度 7 天","分组维度[站点: 西城区少年宫微站(ST004), 区域: 西城区, 部门: 设备运维科]"
REC-O-0005,ST008,海淀区美术馆微站,海淀区,设备运维科,超阈值,2026-05-28,2,0,PM10测量值 117.54μg/m³ 超过上限阈值 70.0μg/m³，超出比例 67.91%; 二氧化硫测量值 66.48μg/m³ 超过上限阈值 50.0μg/m³，超出比例 32.96%,"PM10: 117.54μg/m³(阈值70.0μg/m³, 超67.91%); 二氧化硫: 66.48μg/m³(阈值50.0μg/m³, 超32.96%)",,"记录日期 2026-05-28 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 27 天，距窗口终点 3 天，窗口长度 7 天","分组维度[站点: 海淀区美术馆微站(ST008), 区域: 海淀区, 部门: 设备运维科]"
REC-O-0004,ST001,东城区第一小学微站,东城区,监测一科,超阈值,2026-05-31,2,0,二氧化氮测量值 47.17μg/m³ 超过上限阈值 40.0μg/m³，超出比例 17.93%; 温度测量值 73.97℃ 超过上限阈值 40.0℃，超出比例 84.92%,"二氧化氮: 47.17μg/m³(阈值40.0μg/m³, 超17.93%); 温度: 73.97℃(阈值40.0℃, 超84.92%)",,"记录日期 2026-05-31 位于时间窗口 [2026-05-01, 2026-05-31] 内，距窗口起点 30 天，距窗口终点 0 天，窗口长度 7 天","分组维度[站点: 东城区第一小学微站(ST001), 区域: 东城区, 部门: 监测一科]"
