气瓶编号,气瓶类型,实验室,存放位置,充装介质,上次检验日期,到期日期,距离到期天数,风险等级,责任人,采集来源,采集时间,处理批次,来源标识
QP-2026-015,氮气瓶,化学实验室A,10号柜,氮气,2025-02-28,2026-02-28,-98,高风险,张三,传感器采集,2026-06-05 09:20:00,BATCH-2026-001,实验室气瓶巡检系统
QP-2026-008,氧气瓶,化学实验室A,6号柜,氧气,2025-05-01,2026-05-01,-36,高风险,张三,人工巡检,2026-06-05 09:15:00,BATCH-2026-001,实验室气瓶巡检系统
QP-2026-001,氧气瓶,化学实验室A,1号柜,氧气,2025-06-01,2026-06-01,-5,高风险,张三,人工巡检,2026-06-05 14:00:00,BATCH-2026-001,实验室气瓶巡检系统
QP-2026-017,二氧化碳瓶,物理实验室B,8号柜,二氧化碳,2025-06-20,2026-06-20,14,高风险,李四,传感器采集,2026-06-05 10:20:00,BATCH-2026-001,实验室气瓶巡检系统
QP-2026-011,乙炔瓶,化学实验室A,8号柜,乙炔,2025-07-10,2026-07-10,34,中风险,张三,传感器采集,2026-06-05 09:45:00,BATCH-2026-001,实验室气瓶巡检系统
QP-2026-002,氮气瓶,化学实验室A,2号柜,氮气,2025-03-15,2026-07-15,39,中风险,张三,人工巡检,2026-06-05 09:05:00,BATCH-2026-001,实验室气瓶巡检系统
QP-2026-003,氢气瓶,物理实验室B,3号柜,氢气,2025-08-20,2026-08-20,75,中风险,李四,传感器采集,2026-06-05 10:00:00,BATCH-2026-001,实验室气瓶巡检系统
QP-2026-004,氧气瓶,生物实验室C,1号柜,氧气,2025-09-10,2026-09-10,96,低风险,王五,人工巡检,2026-06-05 11:00:00,BATCH-2026-001,实验室气瓶巡检系统
QP-2026-019,氩气瓶,物理实验室B,12号柜,氩气,2025-09-30,2026-09-30,116,低风险,李四,传感器采集,2026-06-05 10:55:00,BATCH-2026-001,实验室气瓶巡检系统
QP-2026-010,氮气瓶,生物实验室C,3号柜,氮气,2025-10-01,2026-10-01,117,低风险,王五,人工巡检,2026-06-05 11:15:00,BATCH-2026-001,实验室气瓶巡检系统
QP-2026-005,氩气瓶,化学实验室A,4号柜,氩气,2025-12-01,2026-12-01,178,低风险,张三,传感器采集,2026-06-05 09:30:00,BATCH-2026-001,实验室气瓶巡检系统
QP-2026-013,氦气瓶,生物实验室C,4号柜,氦气,invalid_date,2026-12-25,202,无法判定,王五,传感器采集,2026-06-05 11:45:00,BATCH-2026-001,实验室气瓶巡检系统
