分组维度,分组名称,高风险,中风险,低风险,无法判定,总计,处理批次,来源标识
实验室,化学实验室A,3,2,1,0,6,BATCH-2026-001,实验室气瓶巡检系统
实验室,物理实验室B,1,1,1,0,3,BATCH-2026-001,实验室气瓶巡检系统
实验室,生物实验室C,0,0,3,0,3,BATCH-2026-001,实验室气瓶巡检系统
责任人,张三,3,2,1,0,6,BATCH-2026-001,实验室气瓶巡检系统
责任人,李四,1,1,1,0,3,BATCH-2026-001,实验室气瓶巡检系统
责任人,王五,0,0,3,0,3,BATCH-2026-001,实验室气瓶巡检系统
气瓶类型,乙炔瓶,0,1,0,0,1,BATCH-2026-001,实验室气瓶巡检系统
气瓶类型,二氧化碳瓶,1,0,0,0,1,BATCH-2026-001,实验室气瓶巡检系统
气瓶类型,氢气瓶,0,1,0,0,1,BATCH-2026-001,实验室气瓶巡检系统
气瓶类型,氦气瓶,0,0,1,0,1,BATCH-2026-001,实验室气瓶巡检系统
气瓶类型,氧气瓶,2,0,1,0,3,BATCH-2026-001,实验室气瓶巡检系统
气瓶类型,氩气瓶,0,0,2,0,2,BATCH-2026-001,实验室气瓶巡检系统
气瓶类型,氮气瓶,1,1,1,0,3,BATCH-2026-001,实验室气瓶巡检系统
总计,全部,4,3,5,0,12,BATCH-2026-001,实验室气瓶巡检系统
