plot_id,plot_name,area,crop_type,district,water_requirement,priority
P001,一号试验田,45.5,小麦,东区,42.0,2
P002,二号试验田,60.0,小麦,东区,42.0,1
P003,三号试验田,80.0,玉米,东区,55.0,3
P004,四号试验田,55.0,小麦,西区,42.0,2
P005,五号试验田,75.0,玉米,西区,55.0,3
P006,六号试验田,30.0,小麦,南区,42.0,4
P007,七号试验田,90.0,水稻,北区,65.0,1
P008,八号试验田,40.0,小麦,东区,42.0,2
P009,九号试验田,65.0,玉米,南区,55.0,3
P010,十号试验田,50.0,大豆,东区,38.0,5
P011,十一号田,70.0,小麦,西区,42.0,2
P012,十二号田,55.0,玉米,北区,55.0,3
P013,十三号田,48.0,小麦,南区,42.0,3
P014,十四号田,62.0,水稻,北区,65.0,1
P015,十五号田,35.0,棉花,东区,48.0,4
P016,十六号田,85.0,小麦,东区,42.0,2
P017,十七号田,42.0,玉米,西区,55.0,3
P018,十八号田,58.0,小麦,南区,42.0,3
P019,十九号田,72.0,大豆,北区,38.0,5
P020,二十号田,38.0,小麦,东区,42.0,4
