record_id,community,building,unit,category,weight,timestamp,supervisor
R201,阳光花园,A栋,1单元,可回收物,25.0,2026-06-07 15:00:00,
R202,阳光花园,,2单元,厨余垃圾,30.0,2026-06-07 15:15:00,张督导
R203,翠湖小区,1号楼,1单元,,15.5,2026-06-07 15:30:00,李督导
R204,,2号楼,1单元,有害垃圾,5.0,2026-06-07 16:00:00,王督导
R205,阳光花园,B栋,3单元,其他垃圾,,2026-06-07 16:15:00,赵督导
R206,翠湖小区,3号楼,2单元,可回收物,20.0,,张督导
R001,阳光花园,A栋,1单元,可回收物,25.5,2026-06-07 08:30:00,张督导
R002,阳光花园,A栋,2单元,厨余垃圾,15.2,2026-06-07 08:45:00,张督导
R207,阳光花园,C栋,1单元,未知分类,40.0,2026-06-07 17:00:00,李督导
R208,翠湖小区,1号楼,1单元,可回收物,abc,2026-06-07 17:30:00,王督导
R001,阳光花园,A栋,1单元,可回收物,25.5,2026-06-07 08:30:00,张督导
R002,阳光花园,A栋,2单元,厨余垃圾,15.2,2026-06-07 08:45:00,张督导
