record_id,community,building,unit,category,weight,timestamp,supervisor
R301,阳光花园,A栋,1单元,可回收物,30.0,2026-06-01 08:00:00,张督导
R302,阳光花园,A栋,2单元,厨余垃圾,25.5,2026-06-01 09:00:00,张督导
R303,阳光花园,B栋,1单元,有害垃圾,4.0,2026-06-01 10:00:00,李督导
R304,阳光花园,B栋,2单元,其他垃圾,28.0,2026-06-01 11:00:00,李督导
R305,阳光花园,C栋,1单元,可回收物,50.0,2026-06-02 08:30:00,王督导
R306,阳光花园,A栋,3单元,厨余垃圾,35.0,2026-06-02 09:30:00,王督导
R307,翠湖小区,1号楼,1单元,可回收物,22.0,2026-06-01 08:00:00,张督导
R308,翠湖小区,1号楼,2单元,厨余垃圾,30.0,2026-06-01 09:00:00,李督导
R309,翠湖小区,2号楼,1单元,有害垃圾,3.5,2026-06-02 10:00:00,赵督导
R310,翠湖小区,2号楼,2单元,其他垃圾,40.0,2026-06-02 11:00:00,赵督导
