配方编号,配方名称,原料名称,原料编码,添加量,添加量单位,生效日期,备注
F001-2,仔猪配合饲料（二批）,玉米,C001,60,%,2024-01-01,正常
F001-2,仔猪配合饲料（二批）,豆粕,C002,25,%,2024-01-01,正常
F001-2,仔猪配合饲料（二批）,瘦肉精,B001,0.5,%,2024-01-01,违禁添加
F002-2,育肥猪配合饲料（二批）,玉米,C001,65,%,2024-06-01,正常
F002-2,育肥猪配合饲料（二批）,麸皮,C003,10,%,2024-06-01,正常
F002-2,育肥猪配合饲料（二批）,氯霉素,B004,0.1,%,2024-06-01,抗生素添加
F003-2,肉鸡配合饲料（二批）,玉米,C001,58,%,2024-03-01,正常
F003-2,肉鸡配合饲料（二批）,豆粕,C002,30,%,2024-03-01,正常
F003-2,肉鸡配合饲料（二批）,喹乙醇预混剂,B006-1,0.05,%,2024-03-01,促生长
F004-2,水产配合饲料（二批）,,C001,,%,2024-01-01,坏行：原料名称为空
