新编号,原编号,桶号,批次编号,废物类别,废物代码,产生日期,重量,单位,联单编号,存放位置,备注
HW-F04-202506-0001,L012,T-401,B-202506-001,废有机溶剂,HW06,2025-06-01,0.09,ton,LD-2025-0608,四号暂存间,2025年6月月度台账重排
HW-F04-202506-0002,L013,T-402,B-202506-001,废有机溶剂,HW06,2025-06-02,78.00,kg,LD-2025-0608,四号暂存间,2025年6月月度台账重排
HW-F01-202506-0001,L002,T-102,B-202506-001,废矿物油,HW08,2025-06-01,115.30,kg,LD-2025-0601,一号暂存间,2025年6月月度台账重排
HW-F01-202506-0002,L001,T-101,B-202506-003,废矿物油,HW08,2025-06-02,120.50,kg,LD-2025-0601,一号暂存间,2025年6月月度台账重排
HW-F01-202506-0003,L003,T-103,B-202506-002,废矿物油,HW08,2025-06-03,125.80,kg,,一号暂存间,未转移; 2025年6月月度台账重排
HW-F01-202506-0004,L004,T-104,B-202506-002,废矿物油,HW08,2025-06-03,118.20,kg,LD-2025-0602,一号暂存间,2025年6月月度台账重排
HW-F01-202506-0005,L010,T-105,B-202506-003,废矿物油,HW08,2025-06-08,108.70,kg,LD-2025-0606,一号暂存间,2025年6月月度台账重排
HW-F01-202506-0006,L011,T-102,B-202506-004,废矿物油,HW08,2025-06-12,122.00,kg,LD-2025-0607,一号暂存间,疑似录入重复; 2025年6月月度台账重排
HW-F01-202506-0007,L014,T-106,B-202506-005,废矿物油,HW08,2025-06-15,130.00,kg,LD-2025-0600,一号暂存间,联单编号可能有误; 2025年6月月度台账重排
HW-F01-202506-0008,L016,T-107,B-202506-006,废矿物油,HW08,2025-06-20,110.00,kg,LD-2025-0610,一号暂存间,2025年6月月度台账重排
HW-F01-202506-0009,L017,T-108,B-202506-006,废矿物油,HW08,2025-06-20,115.00,kg,LD-2025-0610,一号暂存间,2025年6月月度台账重排
HW-F01-202506-0010,L018,T-109,B-202506-006,废矿物油,HW08,2025-06-20,105.00,kg,LD-2025-0610,一号暂存间,2025年6月月度台账重排
HW-F03-202505-0001,L008,T-301,B-202505-003,废碱,HW35,2025-05-28,80.50,kg,LD-2025-0605,三号暂存间,上月遗留; 2025年6月月度台账重排
HW-F03-202506-0001,L009,T-302,B-202506-001,废碱,HW35,2025-06-04,90.00,kg,LD-2025-0605,三号暂存间,2025年6月月度台账重排
HW-F02-202506-0001,L005,T-201,B-202506-001,废酸,HW34,2025-06-05,250.00,kg,LD-2025-0603,二号暂存间,2025年6月月度台账重排
HW-F02-202506-0002,L006,T-202,B-202506-001,废酸,HW34,2025-06-05,245.50,kg,LD-2025-0603,二号暂存间,2025年6月月度台账重排
HW-F02-202506-0003,L007,T-203,B-202506-002,废酸,HW34,2025-06-10,260.00,kg,LD-2025-0604,二号暂存间,2025年6月月度台账重排
HW-F02-202506-0004,L015,T-204,B-202506-003,废酸,HW34,2025-06-18,270.00,kg,LD-2025-0609,二号暂存间,2025年6月月度台账重排
