编号,桶号,批次编号,废物类别,废物代码,产生日期,重量,单位,联单编号,存放位置,备注
L001,T-101,B-202506-003,废矿物油,HW08,2025-06-02,120.5,kg,LD-2025-0601,一号暂存间,
L002,T-102,B-202506-001,废矿物油,HW08,2025-06-01,115.3,kg,LD-2025-0601,一号暂存间,
L003,T-103,B-202506-002,废矿物油,HW08,2025-06-03,125.8,kg,,一号暂存间,未转移
L004,T-104,B-202506-002,废矿物油,HW08,2025-06-03,118.2,kg,LD-2025-0602,一号暂存间,
L005,T-201,B-202506-001,废酸,HW34,2025-06-05,250.0,kg,LD-2025-0603,二号暂存间,
L006,T-202,B-202506-001,废酸,HW34,2025-06-05,245.5,kg,LD-2025-0603,二号暂存间,
L007,T-203,B-202506-002,废酸,HW34,2025-06-10,260.0,kg,LD-2025-0604,二号暂存间,
L008,T-301,B-202505-003,废碱,HW35,2025-05-28,80.5,kg,LD-2025-0605,三号暂存间,上月遗留
L009,T-302,B-202506-001,废碱,HW35,2025-06-04,90.0,kg,LD-2025-0605,三号暂存间,
L010,T-105,B-202506-003,废矿物油,HW08,2025-06-08,108.7,kg,LD-2025-0606,一号暂存间,
L011,T-102,B-202506-004,废矿物油,HW08,2025-06-12,122.0,kg,LD-2025-0607,一号暂存间,疑似录入重复
L012,T-401,B-202506-001,废有机溶剂,HW06,2025-06-01,0.085,ton,LD-2025-0608,四号暂存间,
L013,T-402,B-202506-001,废有机溶剂,HW06,2025-06-02,78.0,kg,LD-2025-0608,四号暂存间,
L014,T-106,B-202506-005,废矿物油,HW08,2025-06-15,130.0,kg,LD-2025-0600,一号暂存间,联单编号可能有误
L015,T-204,B-202506-003,废酸,HW34,2025-06-18,270.0,kg,LD-2025-0609,二号暂存间,
L016,T-107,B-202506-006,废矿物油,HW08,2025-06-20,110.0,kg,LD-2025-0610,一号暂存间,
L017,T-108,B-202506-006,废矿物油,HW08,2025-06-20,115.0,kg,LD-2025-0610,一号暂存间,
L018,T-109,B-202506-006,废矿物油,HW08,2025-06-20,105.0,kg,LD-2025-0610,一号暂存间,
