联单编号,批次编号,废物类别,废物代码,转移日期,总重量,单位,桶数,状态,备注
LD-2025-0601,B-202506-001,废矿物油,HW08,2025-06-10,235.8,kg,2,正常,
LD-2025-0602,B-202506-002,废矿物油,HW08,2025-06-08,244.0,kg,2,正常,
LD-2025-0603,B-202506-001,废酸,HW34,2025-06-12,495.5,kg,2,正常,
LD-2025-0604,B-202506-002,废酸,HW34,2025-06-15,260.0,kg,1,正常,
LD-2025-0605,B-202506-001,废碱,HW35,2025-06-09,170.5,kg,2,正常,
LD-2025-0606,B-202506-003,废矿物油,HW08,2025-06-12,229.2,kg,2,正常,
LD-2025-0607,B-202506-004,废矿物油,HW08,2025-06-15,122.0,kg,1,作废,重复开单
LD-2025-0608,B-202506-001,废有机溶剂,HW06,2025-06-07,163.0,kg,2,正常,
LD-2025-0609,B-202506-003,废酸,HW34,2025-06-22,270.0,kg,1,正常,
LD-2025-0610,B-202506-006,废矿物油,HW08,2025-06-25,330.0,kg,3,正常,
