工单ID,客户名称,工单标题,工单状态,优先级,创建时间,关闭时间,重开次数,是否重开,工单类别,处理人
TK1001,Alibaba,数据导出问题 - 配置问题,待客户回复,高,2026-06-04,,0,否,数据导出,刘洋
TK1002,Alibaba,数据导出问题 - 系统异常,已关闭,高,2026-05-05,2026-06-11,0,否,数据导出,刘洋
TK1003,Tencent,权限配置问题 - 需要支持,待客户回复,低,2026-06-14,,0,否,权限配置,客服A
TK1004,Tencent,功能异常问题 - 无法操作,处理中,高,2026-05-12,,0,否,功能异常,李华
TK1005,Tencent,培训咨询问题 - 需要支持,已关闭,低,2026-06-16,2026-05-29,1,是,培训咨询,客服A
TK1006,Tencent,集成对接问题 - 报错,重开,中,2026-06-06,,2,是,集成对接,王芳
TK1007,Tencent,性能问题问题 - 配置问题,已关闭,高,2026-05-04,2026-06-03,0,否,性能问题,张明
TK1008,Tencent,培训咨询问题 - 需要支持,处理中,低,2026-05-26,,0,否,培训咨询,客服C
TK1009,Tencent,数据导出问题 - 报错,待客户回复,低,2026-05-19,,0,否,数据导出,客服C
TK1010,Tencent,功能异常问题 - 无法操作,新工单,中,2026-06-01,,0,否,功能异常,王芳
TK1011,百度在线网络技术（北京）有限公司,性能问题问题 - 系统异常,已关闭,低,2026-05-15,2026-06-18,0,否,性能问题,刘洋
TK1012,百度在线网络技术（北京）有限公司,集成对接问题 - 无法操作,新工单,高,2026-05-26,,0,否,集成对接,客服A
TK1013,百度在线网络技术（北京）有限公司,集成对接问题 - 无法操作,已关闭,高,2026-05-06,2026-06-04,0,否,集成对接,客服C
TK1014,百度在线网络技术（北京）有限公司,培训咨询问题 - 无法操作,已关闭,低,2026-05-10,2026-06-07,0,否,培训咨询,刘洋
TK1015,百度在线网络技术（北京）有限公司,登录问题问题 - 配置问题,新工单,高,2026-06-01,,1,是,登录问题,王芳
TK1016,字节跳动有限公司,权限配置问题 - 配置问题,新工单,高,2026-06-02,,0,否,权限配置,李华
TK1017,Meituan,集成对接问题 - 需要支持,待客户回复,中,2026-05-24,,0,否,集成对接,客服B
TK1018,Meituan,数据导出问题 - 报错,已关闭,中,2026-05-07,2026-05-21,1,是,数据导出,王芳
TK1019,Meituan,集成对接问题 - 无法操作,已关闭,中,2026-06-01,2026-05-21,0,否,集成对接,王芳
TK1020,Meituan,数据导出问题 - 无法操作,已关闭,中,2026-05-05,2026-05-15,0,否,数据导出,陈静
TK1021,JD,数据导出问题 - 配置问题,已关闭,低,2026-06-02,2026-06-01,0,否,数据导出,王芳
TK1022,JD,权限配置问题 - 需要支持,已关闭,高,2026-04-21,2026-05-11,0,否,权限配置,客服C
TK1023,JD,性能问题问题 - 配置问题,已关闭,中,2026-05-25,2026-06-18,1,是,性能问题,客服C
TK1024,拼多多信息技术有限公司,权限配置问题 - 需要支持,已关闭,高,2026-06-18,2026-06-09,0,否,权限配置,陈静
TK1025,拼多多信息技术有限公司,登录问题问题 - 无法操作,待客户回复,低,2026-06-11,,0,否,登录问题,李华
TK1026,拼多多信息技术有限公司,登录问题问题 - 需要支持,重开,低,2026-05-24,,2,是,登录问题,王芳
TK1027,拼多多信息技术有限公司,登录问题问题 - 需要支持,已关闭,低,2026-05-15,2026-06-08,0,否,登录问题,客服A
TK1028,拼多多信息技术有限公司,登录问题问题 - 无法操作,新工单,中,2026-04-29,,0,否,登录问题,陈静
TK1029,拼多多信息技术有限公司,功能异常问题 - 无法操作,已关闭,高,2026-04-25,2026-06-17,0,否,功能异常,王芳
TK1030,Huawei,功能异常问题 - 需要支持,重开,高,2026-06-09,,3,是,功能异常,刘洋
TK1031,Huawei,性能问题问题 - 报错,重开,高,2026-05-19,2026-05-24,3,是,性能问题,王芳
TK1032,Huawei,性能问题问题 - 系统异常,已关闭,中,2026-04-23,2026-05-18,0,否,性能问题,客服C
TK1033,Huawei,集成对接问题 - 配置问题,重开,中,2026-06-11,,2,是,集成对接,刘洋
TK1034,Huawei,集成对接问题 - 报错,待客户回复,高,2026-05-27,,0,否,集成对接,张明
TK1035,Huawei,集成对接问题 - 需要支持,重开,中,2026-06-16,,2,是,集成对接,刘洋
TK1036,Huawei,登录问题问题 - 报错,待客户回复,高,2026-04-28,,0,否,登录问题,刘洋
TK1037,网易（杭州）网络有限公司,性能问题问题 - 需要支持,已关闭,中,2026-05-21,2026-06-05,0,否,性能问题,客服C
TK1038,网易（杭州）网络有限公司,权限配置问题 - 报错,新工单,高,2026-05-08,,0,否,权限配置,陈静
TK1039,Didi,数据导出问题 - 无法操作,重开,高,2026-04-28,,2,是,数据导出,客服C
TK1040,Didi,数据导出问题 - 配置问题,已关闭,高,2026-06-02,2026-06-14,0,否,数据导出,张明
TK1041,Didi,登录问题问题 - 无法操作,新工单,高,2026-06-15,,0,否,登录问题,张明
TK1042,Didi,培训咨询问题 - 配置问题,待客户回复,中,2026-06-11,,0,否,培训咨询,客服A
TK1043,Didi,功能异常问题 - 配置问题,重开,低,2026-06-17,,2,是,功能异常,张明
TK1044,Didi,性能问题问题 - 无法操作,已关闭,低,2026-06-11,2026-06-17,0,否,性能问题,陈静
TK1045,Didi,功能异常问题 - 无法操作,待客户回复,中,2026-05-25,,0,否,功能异常,客服C
TK1046,Didi,数据导出问题 - 无法操作,新工单,低,2026-05-15,,0,否,数据导出,客服B
TK1047,Didi,数据导出问题 - 无法操作,已关闭,高,2026-06-02,2026-05-16,0,否,数据导出,刘洋
TK1048,SF,功能异常问题 - 配置问题,已关闭,低,2026-05-05,2026-05-15,0,否,功能异常,张明
