客户,统计周期,统计结束日期,活跃用户数,总授权数,使用率,核心功能使用数,总核心功能,近30天登录,是否有试点,试点功能
阿里巴巴集团控股有限公司,2026年6月,2026-06-17,0,100,0.00%,0,8,0,是,"高级API,数据大屏"
腾讯,2026年6月,2026-06-17,12,100,12.00%,2,8,10,否,
百度在线网络技术（北京）有限公司,2026年6月,2026-06-17,0,200,0.00%,0,8,0,是,AI模型训练模块
字节,2026年6月,2026-06-17,450,500,90.00%,8,8,380,否,
美团,2026年6月,2026-06-17,82,100,82.00%,7,8,60,是,私有化模块
京东集团股份有限公司,2026年6月,2026-06-17,0,50,0.00%,0,8,0,否,
拼多多,2026年6月,2026-06-17,0,100,0.00%,0,8,0,是,"高级API,数据大屏"
小米,2026年6月,2026-06-17,12,100,12.00%,2,8,10,否,
华为技术有限公司,2026年6月,2026-06-17,35,100,35.00%,3,8,25,否,
网易,2026年6月,2026-06-17,55,100,55.00%,5,8,40,否,
滴滴,2026年6月,2026-06-17,8,500,1.60%,1,8,6,否,
顺丰,2026年6月,2026-06-17,0,50,0.00%,0,8,0,否,
