sample_id,盒号,孔位,状态,批次,采集日期,样本类型,负责人,备注
ABC-0001,BOX-001,A1,在库,BATCH-2024-01,2024-01-15,血清,张三,
ABC-0002,BOX-001,A2,在库,BATCH-2024-01,2024-01-16,血清,张三,
ABC-0003,BOX-001,A3,在库,BATCH-2024-01,2024-01-17,血清,李四,
ABC-0004,BOX-001,A4,临时,BATCH-2024-01,2024-01-18,血清,李四,待复核
ABC-0005,BOX-001,A5,在库,BATCH-2024-01,2024-01-19,组织,王五,
ABC-0006,BOX-001,A6,在库,BATCH-2024-01,2024-01-20,组织,王五,
ABC-0007,BOX-001,A7,在库,BATCH-2024-01,2024-01-21,组织,赵六,
ABC-0008,BOX-001,A8,在库,BATCH-2024-01,2024-01-22,组织,赵六,
ABC-0009,BOX-001,A9,已销毁,BATCH-2024-01,2024-01-23,血清,张三,2024年3月销毁
ABC-0010,BOX-001,B1,在库,BATCH-2024-01,2024-01-24,血清,张三,
abc-0011,BOX-001,B2,在库,BATCH-2024-01,2024-01-25,血清,李四,注意：小写
ABC-0012,BOX-001,B3,在库,BATCH-2024-01,2024-01-26,血清,李四,
ABC-0013,BOX-001,B4,在库,BATCH-2024-01,2024-01-27,组织,王五,
ABC-0014,BOX-001,B5,在库,BATCH-2024-01,2024-01-28,组织,王五,
ABC-0015,BOX-001,B6,在库,BATCH-2024-01,2024-01-29,组织,赵六,
ABC-0016,BOX-001,B7,在库,BATCH-2024-01,2024-01-30,组织,赵六,
ABC-0017,BOX-001,B8,在库,BATCH-2024-01,2024-01-31,血清,张三,
ABC-0018,BOX-001,B9,在库,BATCH-2024-01,2024-02-01,血清,张三,
ABC-0019,BOX-001,C1,在库,BATCH-2024-01,2024-02-02,血清,李四,
ABC-0020,BOX-001,C2,在库,BATCH-2024-01,2024-02-03,血清,李四,
DEF-1001,BOX-002,A1,在库,BATCH-2024-01,2024-02-04,DNA,王五,
DEF-1002,BOX-002,A2,在库,BATCH-2024-01,2024-02-05,DNA,王五,
DEF-1003,BOX-002,A3,在库,BATCH-2024-01,2024-02-06,DNA,赵六,
DEF-1004,BOX-002,A4,在库,BATCH-2024-01,2024-02-07,DNA,赵六,
DEF-1005,BOX-002,A5,在库,BATCH-2024-01,2024-02-08,RNA,张三,
DEF-1006,BOX-002,A6,在库,BATCH-2024-01,2024-02-09,RNA,张三,
DEF-1007,BOX-002,A7,在库,BATCH-2024-01,2024-02-10,RNA,李四,
DEF-1008,BOX-002,A8,在库,BATCH-2024-01,2024-02-11,RNA,李四,
DEF-1009,BOX-002,A9,临时,BATCH-2024-01,2024-02-12,DNA,王五,待测序
DEF-1010,BOX-002,B1,在库,BATCH-2024-01,2024-02-13,DNA,王五,
ABC-0002,BOX-002,B2,在库,BATCH-2024-01,2024-02-14,血清,赵六,注意：同位置冲突
ABC-0025,BOX-002,B2,在库,BATCH-2024-01,2024-02-15,血清,赵六,注意：同位置冲突
DEF-1013,BOX-002,B4,在库,BATCH-2024-01,2024-02-17,DNA,张三,
DEF-1014,BOX-002,B5,在库,BATCH-2024-01,2024-02-18,DNA,张三,
DEF-1015,BOX-002,B6,在库,BATCH-2024-01,2024-02-19,RNA,李四,
DEF-1016,BOX-002,B7,在库,BATCH-2024-01,2024-02-20,RNA,李四,
DEF-1017,BOX-002,B8,在库,BATCH-2024-01,2024-02-21,DNA,王五,
DEF-1018,BOX-002,B9,在库,BATCH-2024-01,2024-02-22,DNA,王五,
DEF-1019,BOX-002,C1,在库,BATCH-2024-01,2024-02-23,RNA,赵六,
DEF-1020,BOX-002,C2,在库,BATCH-2024-01,2024-02-24,RNA,赵六,
DEF-1021,BOX-002,C3,在库,BATCH-2024-01,2024-02-25,DNA,张三,
DEF-1022,BOX-002,C4,在库,BATCH-2024-01,2024-02-26,DNA,张三,
DEF-1023,BOX-002,C5,在库,BATCH-2024-01,2024-02-27,RNA,李四,
DEF-1024,BOX-002,C6,在库,BATCH-2024-01,2024-02-28,RNA,李四,
  ABC-0030 ,BOX-001,C3,在库,BATCH-2024-01,2024-03-01,血清,王五,注意：前后有空格
ABC-0031,BOX-001,C4,在库,BATCH-2024-01,2024-03-02,血清,王五,
ABC-0032,BOX-001,C5,在库,BATCH-2024-01,2024-03-03,组织,赵六,
ABC-0033,BOX-001,Z9,在库,BATCH-2024-01,2024-03-04,组织,赵六,注意：无效孔位
XYZ-999,BOX-001,D1,在库,BATCH-UNKNOWN,2024-03-05,血清,张三,未知批次
ABC-2000,BOX-003,A1,在库,BATCH-2024-02,2024-07-01,血清,李四,未注册盒子
INVALID,BOX-001,D2,在库,BATCH-2024-01,2024-03-06,血清,李四,格式错误的编号
