盒号,孔位,样本号,状态,批次,类型,负责人,备注
BOX-001,A1,ABC-0001,active,BATCH-2024-01,血清,张三,
BOX-001,A2,ABC-0002,active,BATCH-2024-01,血清,张三,
BOX-001,A3,ABC-0003,active,BATCH-2024-01,血清,李四,
BOX-001,A4,ABC-0004,temporary,BATCH-2024-01,血清,李四,待复核
BOX-001,A5,ABC-0005,active,BATCH-2024-01,组织,王五,
BOX-001,A6,ABC-0006,active,BATCH-2024-01,组织,王五,
BOX-001,A7,ABC-0007,active,BATCH-2024-01,组织,赵六,
BOX-001,A8,ABC-0008,active,BATCH-2024-01,组织,赵六,
BOX-001,B1,ABC-0010,active,BATCH-2024-01,血清,张三,
BOX-001,B2,abc-0011,active,BATCH-2024-01,血清,李四,注意：小写
BOX-001,B3,ABC-0012,active,BATCH-2024-01,血清,李四,
BOX-001,B4,ABC-0013,active,BATCH-2024-01,组织,王五,
BOX-001,B5,ABC-0014,active,BATCH-2024-01,组织,王五,
BOX-001,B6,ABC-0015,active,BATCH-2024-01,组织,赵六,
BOX-001,B7,ABC-0016,active,BATCH-2024-01,组织,赵六,
BOX-001,B8,ABC-0017,active,BATCH-2024-01,血清,张三,
BOX-001,B9,ABC-0018,active,BATCH-2024-01,血清,张三,
BOX-001,C1,ABC-0019,active,BATCH-2024-01,血清,李四,
BOX-001,C2,ABC-0020,active,BATCH-2024-01,血清,李四,
BOX-001,C3,ABC-0030,active,BATCH-2024-01,血清,王五,注意：前后有空格
BOX-001,C4,ABC-0031,active,BATCH-2024-01,血清,王五,
BOX-001,C5,ABC-0032,active,BATCH-2024-01,组织,赵六,
BOX-001,D1,XYZ-999,active,BATCH-UNKNOWN,血清,张三,未知批次
BOX-001,D2,INVALID,active,BATCH-2024-01,血清,李四,格式错误的编号
BOX-001,Z9,ABC-0033,active,BATCH-2024-01,组织,赵六,注意：无效孔位
BOX-002,A1,DEF-1001,active,BATCH-2024-01,DNA,王五,
BOX-002,A2,DEF-1002,active,BATCH-2024-01,DNA,王五,
BOX-002,A3,DEF-1003,active,BATCH-2024-01,DNA,赵六,
BOX-002,A4,DEF-1004,active,BATCH-2024-01,DNA,赵六,
BOX-002,A5,DEF-1005,active,BATCH-2024-01,RNA,张三,
BOX-002,A6,DEF-1006,active,BATCH-2024-01,RNA,张三,
BOX-002,A7,DEF-1007,active,BATCH-2024-01,RNA,李四,
BOX-002,A8,DEF-1008,active,BATCH-2024-01,RNA,李四,
BOX-002,A9,DEF-1009,temporary,BATCH-2024-01,DNA,王五,待测序
BOX-002,B1,DEF-1010,active,BATCH-2024-01,DNA,王五,
BOX-002,B2,ABC-0002,active,BATCH-2024-01,血清,赵六,注意：同位置冲突
BOX-002,B4,DEF-1013,active,BATCH-2024-01,DNA,张三,
BOX-002,B5,DEF-1014,active,BATCH-2024-01,DNA,张三,
BOX-002,B6,DEF-1015,active,BATCH-2024-01,RNA,李四,
BOX-002,B7,DEF-1016,active,BATCH-2024-01,RNA,李四,
BOX-002,B8,DEF-1017,active,BATCH-2024-01,DNA,王五,
BOX-002,B9,DEF-1018,active,BATCH-2024-01,DNA,王五,
BOX-002,C1,DEF-1019,active,BATCH-2024-01,RNA,赵六,
BOX-002,C2,DEF-1020,active,BATCH-2024-01,RNA,赵六,
BOX-002,C3,DEF-1021,active,BATCH-2024-01,DNA,张三,
BOX-002,C4,DEF-1022,active,BATCH-2024-01,DNA,张三,
BOX-002,C5,DEF-1023,active,BATCH-2024-01,RNA,李四,
BOX-002,C6,DEF-1024,active,BATCH-2024-01,RNA,李四,
BOX-003,A1,ABC-2000,active,BATCH-2024-02,血清,李四,未注册盒子
