模板路径,模板名称,科室,状态,问题类型,严重级别,行号,列号,问题描述,上下文,是否业务例外,例外原因,确认人,确认日期
sample/阿莫西林口服方案.order,阿莫西林口服方案,呼吸内科,在用,默认值缺失,warning,3,1,必填变量 '患者姓名' 没有默认值,【患者姓名】  【住院号】  床号：【床号】,,,,
sample/阿莫西林口服方案.order,阿莫西林口服方案,呼吸内科,在用,默认值缺失,warning,3,9,必填变量 '住院号' 没有默认值,【患者姓名】  【住院号】  床号：【床号】,,,,
sample/阿莫西林口服方案.order,阿莫西林口服方案,呼吸内科,在用,默认值缺失,warning,4,4,必填变量 '年龄' 没有默认值,年龄：【年龄】  体重：【体重】kg,,,,
sample/阿莫西林口服方案.order,阿莫西林口服方案,呼吸内科,在用,默认值缺失,warning,4,13,必填变量 '体重' 没有默认值,年龄：【年龄】  体重：【体重】kg,,,,
sample/阿莫西林口服方案.order,阿莫西林口服方案,呼吸内科,在用,默认值缺失,warning,0,0,规则要求的变量 '用药剂量' 在模板中未出现且无默认值,,,,,
sample/阿莫西林口服方案.order,阿莫西林口服方案,呼吸内科,在用,默认值缺失,warning,0,0,规则要求的变量 '药品名称' 在模板中未出现且无默认值,,,,,
sample/阿莫西林口服方案.order,阿莫西林口服方案,呼吸内科,在用,默认值缺失,warning,0,0,规则要求的变量 '医生签名' 在模板中未出现且无默认值,,,,,
sample/阿莫西林口服方案.order,阿莫西林口服方案,呼吸内科,在用,禁用表述,error,8,6,发现占位符/禁用表述: 连续占位符 XXX → 'XXX',用药剂量：XXX mg,,,,
sample/阿莫西林口服方案.order,阿莫西林口服方案,呼吸内科,在用,禁用表述,error,11,4,发现占位符/禁用表述: 待填写占位符 → '待填写',疗程：待填写天,,,,
sample/阿莫西林口服方案.order,阿莫西林口服方案,呼吸内科,在用,禁用表述,error,14,6,发现占位符/禁用表述: 待填写占位符 → '待填写',医生签名：待填写,,,,
sample/阿莫西林口服方案.order,阿莫西林口服方案,呼吸内科,在用,剂量单位不一致,error,16,4,"药品 '阿莫西林' 存在不一致的单位: g, mg",备注：阿莫西林：0.5 g 口服 tid,,,,
sample/阿莫西林口服方案.order,阿莫西林口服方案,呼吸内科,在用,剂量单位不一致,error,17,1,"药品 '阿莫西林' 存在不一致的单位: g, mg",阿莫仙：500 毫克 口服 tid,,,,
sample/头孢曲松标准方案.order,头孢曲松标准方案,感染科,在用,未闭合变量,error,8,6,未闭合的变量括号 '【'，缺少闭合符号 '】',用药剂量：【用药剂量,,,,
sample/头孢曲松标准方案.order,头孢曲松标准方案,感染科,在用,默认值缺失,warning,3,1,必填变量 '患者姓名' 没有默认值,【患者姓名】  【住院号】  床号：【床号】,,,,
sample/头孢曲松标准方案.order,头孢曲松标准方案,感染科,在用,默认值缺失,warning,3,9,必填变量 '住院号' 没有默认值,【患者姓名】  【住院号】  床号：【床号】,,,,
sample/头孢曲松标准方案.order,头孢曲松标准方案,感染科,在用,默认值缺失,warning,4,4,必填变量 '年龄' 没有默认值,年龄：【年龄】  体重：【体重】kg,,,,
sample/头孢曲松标准方案.order,头孢曲松标准方案,感染科,在用,默认值缺失,warning,4,13,必填变量 '体重' 没有默认值,年龄：【年龄】  体重：【体重】kg,,,,
sample/头孢曲松标准方案.order,头孢曲松标准方案,感染科,在用,默认值缺失,warning,7,6,必填变量 '药品名称' 没有默认值,药品名称：【药品名称】,,,,
sample/头孢曲松标准方案.order,头孢曲松标准方案,感染科,在用,默认值缺失,warning,14,6,必填变量 '医生签名' 没有默认值,医生签名：【医生签名】,,,,
sample/头孢曲松标准方案.order,头孢曲松标准方案,感染科,在用,默认值缺失,warning,0,0,规则要求的变量 '用药剂量' 在模板中未出现且无默认值,,,,,
sample/头孢曲松标准方案.order,头孢曲松标准方案,感染科,在用,剂量单位不一致,error,17,1,"药品 '头孢曲松' 存在不一致的单位: g, mg",头孢曲松：2.0 g 静滴 qd,,,,
sample/头孢曲松标准方案.order,头孢曲松标准方案,感染科,在用,剂量单位不一致,error,18,1,"药品 '头孢曲松' 存在不一致的单位: g, mg",头孢三嗪：2000 mg 静滴 qd,,,,
sample/胰岛素皮下注射方案.order,胰岛素皮下注射方案,内分泌科,在用,默认值缺失,warning,3,1,必填变量 '患者姓名' 没有默认值,【患者姓名】  【住院号】  床号：【床号】,,,,
sample/胰岛素皮下注射方案.order,胰岛素皮下注射方案,内分泌科,在用,默认值缺失,warning,3,9,必填变量 '住院号' 没有默认值,【患者姓名】  【住院号】  床号：【床号】,,,,
sample/胰岛素皮下注射方案.order,胰岛素皮下注射方案,内分泌科,在用,默认值缺失,warning,4,4,必填变量 '年龄' 没有默认值,年龄：【年龄】  体重：【体重】kg,,,,
