订单号,行号,物料编码,物料名称,供应商,数量,单位,计划交期,备注
PO20260601,,MAT001,主控芯片,深圳市华强电子有限公司,10000,PCS,2026-06-10,
PO20260602,,MAT002,精密外壳,苏州精密模具制造有限公司,5000,PCS,2026-06-15,
PO20260603,,MAT003,PCB电路板,上海五金材料股份有限公司,20000,PCS,2026-06-17,拆分订单-第1批
PO20260603-2,,MAT003,PCB电路板,上海五金材料股份有限公司,30000,PCS,2026-06-18,拆分订单-第2批
PO20260604,,MAT004,连接器端子,东莞市塑胶制品厂,8000,PCS,2026-06-20,
PO20260605,,MAT005,电解电容,广州市化工原料有限公司,50000,PCS,2026-06-22,本周五
PO20260606,,MAT006,散热风扇,佛山市陶瓷建材集团,3000,PCS,2026-06-26,
PO20260607,,MAT007,塑胶按键,东莞市塑胶制品厂,20000,PCS,2026-06-30,
PO20260608,,MAT008,金属垫片,杭州电子元器件有限公司,15000,PCS,2026-07-05,
PO20260609,,MAT009,包装纸盒,成都包装材料有限公司,10000,PCS,2026-07-10,
