供应商代码,原始行号,原始条码,清理后条码,异常代码,异常描述,箱号
SUPPLIER_A,4,HA26061526060155,HA26061526060155,DUPLICATE_BARCODE,重复条码: 首次出现在原始行 2,BOX002
SUPPLIER_A,5, HA26062026061056,HA26062026061056,WHITESPACE_FOUND,条码含首尾空白字符,BOX003
SUPPLIER_A,5, HA26062026061056,HA26062026061056,DUPLICATE_BARCODE,重复条码: 首次出现在原始行 3,BOX003
SUPPLIER_A,6,HA2606 1526060155,HA26061526060155,WHITESPACE_IN_BARCODE,条码中间含空格,BOX004
SUPPLIER_A,6,HA2606 1526060155,HA26061526060155,DUPLICATE_BARCODE,重复条码: 首次出现在原始行 2,BOX004
SUPPLIER_A,7,XB26061526060155,XB26061526060155,PREFIX_MISMATCH,"前缀不匹配: 期望 'HA', 实际 'XB'",BOX005
SUPPLIER_A,8,HA26061526060153,HA26061526060153,CHECK_DIGIT_FAILED,"校验位错误: 期望 5, 实际 3",BOX006
SUPPLIER_A,9,HA26030126060152,HA26030126060152,BATCH_BEFORE_PRODUCTION,批次日期 2026-03-01 早于生产日期 2026-06-01,BOX007
SUPPLIER_A,10,HA26XXXX26060155,HA26XXXX26060155,CHECK_DIGIT_FAILED,"校验位错误: 期望 0, 实际 5",BOX008
SUPPLIER_A,10,HA26XXXX26060155,HA26XXXX26060155,BATCH_DATE_INVALID,批次日期无法解析,BOX008
SUPPLIER_A,11,HA2606152606015,HA2606152606015,LENGTH_MISMATCH,"长度不匹配: 期望 16, 实际 15",BOX009
SUPPLIER_A,11,HA2606152606015,HA2606152606015,CHECK_DIGIT_FAILED,"校验位错误: 期望 0, 实际 5",BOX009
SUPPLIER_A,20,,,BAD_ROW,条码或供应商代码为空,
SUPPLIER_B,14,SB26061512345,SB26061512345,LENGTH_MISMATCH,"长度不匹配: 期望 14, 实际 13",BOX012
SUPPLIER_B,15,XX260615123456,XX260615123456,PREFIX_MISMATCH,"前缀不匹配: 期望 'SB', 实际 'XX'",BOX013
SUPPLIER_C,17,NC2606151234509,NC2606151234509,CHECK_DIGIT_FAILED,"校验位错误: 期望 2, 实际 9",BOX021
SUPPLIER_C,18,NC260615,NC260615,LENGTH_RANGE_MISMATCH,"长度不在范围: 期望 12-18, 实际 8",BOX022
SUPPLIER_C,18,NC260615,NC260615,CHECK_DIGIT_FAILED,"校验位错误: 期望 4, 实际 5",BOX022
UNKNOWN_SUPPLIER,19,ZZ26061512345678,ZZ26061512345678,UNKNOWN_SUPPLIER,供应商 UNKNOWN_SUPPLIER 无匹配规则,BOX030
