barcode,supplier_code,box_id,scan_time
HA26061526060155,SUPPLIER_A,BOX001,2026-06-20T08:30:00
HA26062026061056,SUPPLIER_A,BOX001,2026-06-20T08:30:05
HA26061526060155,SUPPLIER_A,BOX002,2026-06-20T08:31:00
 HA26062026061056,SUPPLIER_A,BOX003,2026-06-20T08:32:00
HA2606 1526060155,SUPPLIER_A,BOX004,2026-06-20T08:33:00
XB26061526060155,SUPPLIER_A,BOX005,2026-06-20T08:34:00
HA26061526060153,SUPPLIER_A,BOX006,2026-06-20T08:35:00
HA26030126060152,SUPPLIER_A,BOX007,2026-06-20T08:36:00
HA26XXXX26060155,SUPPLIER_A,BOX008,2026-06-20T08:37:00
HA2606152606015,SUPPLIER_A,BOX009,2026-06-20T08:38:00
SB260615123456,SUPPLIER_B,BOX010,2026-06-20T09:00:00
SB260620234567,SUPPLIER_B,BOX011,2026-06-20T09:01:00
SB26061512345,SUPPLIER_B,BOX012,2026-06-20T09:02:00
XX260615123456,SUPPLIER_B,BOX013,2026-06-20T09:03:00
NC2606151234502,SUPPLIER_C,BOX020,2026-06-20T10:00:00
NC2606151234509,SUPPLIER_C,BOX021,2026-06-20T10:01:00
NC260615,SUPPLIER_C,BOX022,2026-06-20T10:02:00
ZZ26061512345678,UNKNOWN_SUPPLIER,BOX030,2026-06-20T11:00:00
,SUPPLIER_A,BOX040,2026-06-20T11:30:00
