箱号,环节,时间,门店,温度
BOX001,出库,2026-06-09 06:00:00,朝阳店,4.2
BOX002,出库,2026-06-09 06:05:00,海淀店,3.8
BOX003,出库,2026-06-09 06:10:00,西城店,5.1
BOX004,出库,2026-06-09 06:15:00,东城店,4.5
BOX005,出库,2026-06-09 06:20:00,丰台店,4.0
BOX001,到店,2026-06-09 07:30:00,朝阳店,6.2
BOX001,到店,2026-06-09 07:30:05,朝阳店,6.2
BOX002,到店,2026-06-09 07:45:00,海淀分店,7.0
BOX003,到店,2026-06-09 08:00:00,西城店,9.5
BOX004,到店,2026-06-09 08:15:00,东城店,5.5
BOX001,回仓,2026-06-09 14:00:00,朝阳店,5.0
BOX002,回仓,2026-06-09 14:30:00,海淀店,4.8
BOX003,回仓,2026-06-09 15:00:00,西城店,12.0
BOX004,回仓,2026-06-09 15:30:00,东城店,4.9
BOX001,清洗,2026-06-09 16:00:00,,3.5
BOX002,清洗,2026-06-09 16:30:00,,3.8
