"type","severity","sampleId","boxId","position","message","source","lineNumber","conflictingSamples","moveOperator","reviewer","batchId"
"position-conflict","high","S002","BOX-A","A1","位置冲突：BOX-A A1 存在 2 个样本：S002, S008","inventory",3,"S002, S008","","",""
"reviewer-mismatch","medium","S004","","","复核人不一致：移动人(王五)与复核人(王五)为同一人","movements",3,"","王五","王五",""
"duplicate-move","low","S003","","","重复移动：样本 S003 的移动记录重复，已跳过","movements",5,"","","","BATCH001"
"empty-sample-id","medium","","","","样本编号缺失：移动记录中存在空的样本编号","movements",6,"","","",""
"missing-sample","medium","S999","","","样本缺失：台账中找不到样本编号 S999，但移动记录中存在","movements",7,"","","",""
"invalid-position","high","S999","BOX-B","Z1","无效位置：移动目标 BOX-B 中不存在位置 Z1","movements",7,"","","",""
"invalid-position","medium","S999","BOX-A","Z1","无效位置：移动来源 BOX-A 中不存在位置 Z1","movements",7,"","","",""
"position-conflict","high","S008","BOX-A","A1","位置冲突：BOX-A A1 存在 2 个样本：S002, S008","inventory",9,"S002, S008","","",""
"position-conflict","high","S008","BOX-A","A1","位置冲突：移动记录导致 BOX-A A1 存在多个样本","movements",11,"S002, S008","","",""
"empty-sample-id","medium","","","","样本编号缺失：台账中存在空的样本编号","inventory",11,"","","",""
"invalid-position","high","S011","BOX-A","Z9","无效位置：BOX-A 中不存在位置 Z9","inventory",12,"","","",""
