"sampleId","sampleName","status","statusCode","currentBox","currentPosition","reviewer","reviewDate","historyCount","moveCount","inventoryLineNumber","hasConflict","conflictCount","conflictTypes","conflictDescription"
"S001","血清样本-001","已废弃","discarded","","","","",2,1,2,"否",0,"",""
"S002","血清样本-002","已入库","stored","BOX-A","A1","","",1,0,3,"是",1,"position-conflict","位置冲突：BOX-A A1 存在 2 个样本：S002, S008"
"S003","组织样本-003","已复核","reviewed","BOX-B","C1","李四","2024-02-02",3,1,4,"是",1,"duplicate-move","重复移动：样本 S003 的移动记录重复，已跳过"
"S004","血浆样本-004","已复核","reviewed","BOX-B","C2","王五","2024-02-03",3,1,5,"是",1,"reviewer-mismatch","复核人不一致：移动人(王五)与复核人(王五)为同一人"
"S005","尿液样本-005","已复核","reviewed","BOX-B","A2","张三","2024-02-06",3,1,6,"否",0,"",""
"S006","细胞样本-006","已复核","reviewed","BOX-A","A3","王五","2024-02-12",3,1,7,"否",0,"",""
"S007","DNA样本-007","已复核","reviewed","BOX-A","C1","张三","2024-02-16",3,1,8,"否",0,"",""
"S008","RNA样本-008","已复核","reviewed","BOX-A","A1","李四","2024-02-18",3,1,9,"是",2,"position-conflict,position-conflict","位置冲突：BOX-A A1 存在 2 个样本：S002, S008; 位置冲突：移动记录导致 BOX-A A1 存在多个样本"
"S009","蛋白质样本-009","已入库","stored","BOX-B","B2","","",1,0,10,"否",0,"",""
"S011","质控样本-011","已入库","stored","BOX-A","Z9","","",1,0,12,"是",1,"invalid-position","无效位置：BOX-A 中不存在位置 Z9"
