记录编号,养殖池编号,检测日期,检测时间,水温,溶解氧,pH值,盐度,氨氮,亚硝酸盐,是否补录,补录时间,检测人
W000001,P001,2026-05-26,07:30:00,23.1,6.6,7.9,23.8,0.49,0.015,否,,王检验
W000002,P002,2026-05-26,07:30:00,25.8,7.2,7.3,23.3,0.19,0.022,否,,王检验
W000003,P003,2026-05-26,07:30:00,24.7,5.9,7.4,25.5,0.44,0.069,否,,王检验
W000004,P004,2026-05-26,07:30:00,22.2,8.1,8.6,31.0,0.46,0.137,否,,陈技术员
W000005,P005,2026-05-26,07:30:00,24.5,5.8,8.3,25.8,0.68,0.08,否,,陈技术员
W000006,P006,2026-05-26,07:30:00,24.0,8.1,8.4,29.0,0.29,0.068,否,,王检验
W000007,P007,2026-05-26,07:30:00,22.8,8.2,8.7,25.7,0.66,0.054,否,,陈技术员
W000008,P008,2026-05-26,07:30:00,24.4,8.5,8.1,25.5,0.6,0.065,是,2026-05-27 18:00:00,陈技术员
W000009,P009,2026-05-26,07:30:00,23.2,7.2,7.2,28.2,0.35,0.045,否,,王检验
W000010,P010,2026-05-26,07:30:00,24.3,5.3,7.9,26.1,0.56,0.149,否,,陈技术员
W000011,P001,2026-05-27,07:30:00,22.9,7.2,7.9,25.5,0.56,0.029,否,,王检验
W000012,P002,2026-05-27,07:30:00,23.4,7.2,8.0,28.3,0.42,0.072,否,,陈技术员
W000013,P003,2026-05-27,07:30:00,22.3,5.7,8.0,30.6,0.68,0.13,否,,王检验
W000014,P004,2026-05-27,07:30:00,24.7,7.0,8.6,27.7,0.12,0.06,否,,王检验
W000015,P005,2026-05-27,07:30:00,23.2,7.6,8.5,23.7,0.14,0.145,否,,陈技术员
W000016,P006,2026-05-27,07:30:00,25.6,5.7,7.8,31.9,0.25,0.031,否,,陈技术员
W000017,P007,2026-05-27,07:30:00,23.8,8.4,7.4,29.9,0.62,0.125,否,,陈技术员
W000018,P008,2026-05-27,07:30:00,24.5,6.5,7.6,22.6,0.31,0.114,否,,王检验
W000019,P009,2026-05-27,07:30:00,25.3,5.9,8.1,23.2,0.65,0.132,否,,陈技术员
W000020,P010,2026-05-27,07:30:00,24.8,7.5,8.7,23.1,0.42,0.119,否,,陈技术员
W000021,P001,2026-05-28,07:30:00,24.7,6.2,7.8,29.5,0.52,0.011,否,,王检验
W000022,P002,2026-05-28,07:30:00,22.6,6.8,7.9,29.2,0.11,0.15,否,,陈技术员
W000023,P003,2026-05-28,07:30:00,23.6,6.7,7.3,26.1,0.39,0.028,是,2026-05-29 18:00:00,陈技术员
W000024,P004,2026-05-28,07:30:00,25.3,6.7,7.8,28.9,0.41,0.041,是,2026-05-29 18:00:00,王检验
W000025,P005,2026-05-28,07:30:00,24.8,7.4,8.2,25.6,0.79,0.066,否,,陈技术员
W000026,P006,2026-05-28,07:30:00,23.3,8.2,7.9,23.2,0.46,0.084,否,,王检验
W000027,P007,2026-05-28,07:30:00,25.1,5.4,7.7,27.2,0.4,0.093,否,,陈技术员
W000028,P008,2026-05-28,07:30:00,23.4,5.5,7.8,29.1,0.71,0.105,否,,陈技术员
W000029,P009,2026-05-28,07:30:00,23.4,6.3,8.3,28.1,0.29,0.117,否,,陈技术员
W000030,P010,2026-05-28,07:30:00,25.0,7.4,8.4,30.0,0.51,0.046,是,2026-05-29 18:00:00,王检验
W000031,P001,2026-05-29,07:30:00,22.2,7.9,7.6,27.7,0.45,0.044,否,,陈技术员
W000032,P002,2026-05-29,07:30:00,24.3,5.7,8.4,30.0,0.25,0.067,否,,陈技术员
W000033,P003,2026-05-29,07:30:00,23.6,6.0,8.2,25.0,0.46,0.1,否,,陈技术员
W000034,P004,2026-05-29,07:30:00,22.4,8.3,8.3,25.6,0.24,0.123,否,,陈技术员
W000035,P005,2026-05-29,07:30:00,22.4,5.2,7.9,28.7,0.59,0.123,否,,陈技术员
W000036,P006,2026-05-29,07:30:00,22.6,8.4,8.5,24.5,0.77,0.098,否,,王检验
W000037,P007,2026-05-29,07:30:00,24.3,6.7,8.1,25.5,0.16,0.098,否,,陈技术员
W000038,P008,2026-05-29,07:30:00,22.8,6.3,7.7,31.8,0.27,0.085,否,,陈技术员
W000039,P009,2026-05-29,07:30:00,23.3,6.4,7.9,27.5,0.62,0.071,否,,王检验
W000040,P010,2026-05-29,07:30:00,24.3,7.3,7.8,27.3,0.19,0.09,否,,王检验
W000041,P001,2026-05-30,07:30:00,24.4,5.7,8.4,30.1,0.12,0.138,否,,陈技术员
W000042,P002,2026-05-30,07:30:00,23.4,6.4,7.3,29.9,0.48,0.043,否,,王检验
W000043,P003,2026-05-30,07:30:00,25.3,6.9,7.5,25.6,0.69,0.12,否,,王检验
W000044,P004,2026-05-30,07:30:00,23.8,8.4,7.6,23.8,0.17,0.136,是,2026-05-31 18:00:00,陈技术员
W000045,P005,2026-05-30,07:30:00,23.3,5.3,8.6,24.8,0.69,0.049,否,,王检验
W000046,P006,2026-05-30,07:30:00,22.1,7.8,7.3,31.0,0.72,0.119,否,,王检验
W000047,P007,2026-05-30,07:30:00,22.7,8.2,8.1,22.0,0.74,0.018,否,,陈技术员
W000048,P008,2026-05-30,07:30:00,23.9,5.2,7.7,30.7,0.63,0.126,否,,陈技术员
W000049,P009,2026-05-30,07:30:00,25.9,7.7,7.4,25.6,0.36,0.089,否,,王检验
W000050,P010,2026-05-30,07:30:00,23.7,7.1,8.7,25.1,0.16,0.135,否,,王检验
W000051,P001,2026-05-31,07:30:00,27.7,7.2,7.4,28.4,0.74,0.011,是,2026-06-01 18:00:00,陈技术员
W000052,P002,2026-05-31,07:30:00,30.7,4.8,7.5,27.3,0.22,0.012,否,,王检验
W000053,P003,2026-05-31,07:30:00,27.5,6.5,8.6,31.3,0.6,0.032,否,,王检验
W000054,P004,2026-05-31,07:30:00,26.1,7.9,7.6,27.1,0.61,0.042,否,,王检验
W000055,P005,2026-05-31,07:30:00,27.6,8.1,8.1,24.6,0.39,0.142,否,,王检验
W000056,P006,2026-05-31,07:30:00,27.2,8.0,8.7,24.5,0.65,0.14,否,,陈技术员
W000057,P007,2026-05-31,07:30:00,28.9,4.6,7.7,31.2,0.56,0.116,否,,王检验
W000058,P008,2026-05-31,07:30:00,27.0,4.6,8.2,25.4,0.3,0.034,是,2026-06-01 18:00:00,陈技术员
W000059,P009,2026-05-31,07:30:00,31.2,7.5,8.7,31.0,0.72,0.118,否,,王检验
W000060,P010,2026-05-31,07:30:00,27.8,6.6,7.9,25.2,0.63,0.03,否,,王检验
W000061,P001,2026-06-01,07:30:00,26.8,5.1,7.9,23.5,0.43,0.112,否,,王检验
W000062,P002,2026-06-01,07:30:00,27.7,7.7,7.8,23.5,0.66,0.095,否,,陈技术员
W000063,P003,2026-06-01,07:30:00,27.3,4.5,7.8,28.6,0.69,0.061,否,,王检验
W000064,P004,2026-06-01,07:30:00,28.2,7.0,8.2,29.0,0.24,0.119,是,2026-06-02 18:00:00,陈技术员
W000065,P005,2026-06-01,07:30:00,27.8,8.4,7.5,26.3,0.45,0.085,否,,陈技术员
W000066,P006,2026-06-01,07:30:00,27.7,5.1,8.3,31.8,0.17,0.019,否,,陈技术员
W000067,P007,2026-06-01,07:30:00,28.4,5.5,7.9,23.0,0.6,0.096,否,,王检验
W000068,P008,2026-06-01,07:30:00,30.2,7.0,8.7,28.6,0.28,0.116,是,2026-06-02 18:00:00,王检验
W000069,P009,2026-06-01,07:30:00,27.2,8.3,7.9,22.9,0.76,0.025,否,,王检验
W000070,P010,2026-06-01,07:30:00,28.9,8.0,8.5,31.2,0.79,0.095,否,,陈技术员
W000071,P001,2026-06-02,07:30:00,23.5,7.1,7.8,22.9,0.7,0.126,否,,陈技术员
W000072,P002,2026-06-02,07:30:00,23.7,5.1,7.7,27.1,0.32,0.018,否,,王检验
W000073,P003,2026-06-02,07:30:00,25.5,8.1,7.4,26.5,0.54,0.016,否,,王检验
W000074,P004,2026-06-02,07:30:00,22.3,4.7,8.4,22.9,0.21,0.033,否,,王检验
W000075,P005,2026-06-02,07:30:00,24.5,5.8,7.7,27.0,0.78,0.029,否,,王检验
W000076,P006,2026-06-02,07:30:00,22.1,8.0,7.2,28.9,0.79,0.147,否,,王检验
W000077,P007,2026-06-02,07:30:00,24.5,7.9,8.4,30.8,0.44,0.123,否,,王检验
W000078,P008,2026-06-02,07:30:00,24.1,5.9,8.0,25.8,0.12,0.034,否,,王检验
W000079,P009,2026-06-02,07:30:00,25.6,5.4,8.1,31.0,0.25,0.03,否,,陈技术员
W000080,P010,2026-06-02,07:30:00,22.9,7.3,8.6,29.1,0.73,0.031,是,2026-06-03 18:00:00,陈技术员
W000081,P001,2026-06-03,07:30:00,23.3,8.4,8.0,27.9,0.5,0.045,否,,王检验
W000082,P002,2026-06-03,07:30:00,23.3,5.8,7.3,29.9,0.72,0.068,否,,王检验
W000083,P003,2026-06-03,07:30:00,22.8,6.0,8.1,27.8,0.19,0.043,否,,王检验
W000084,P004,2026-06-03,07:30:00,25.8,6.3,8.6,28.8,0.62,0.143,否,,王检验
W000085,P005,2026-06-03,07:30:00,24.4,4.5,8.4,30.2,0.24,0.089,否,,王检验
W000086,P006,2026-06-03,07:30:00,22.2,7.4,7.7,31.3,0.3,0.101,否,,王检验
W000087,P007,2026-06-03,07:30:00,22.3,8.4,7.9,28.8,0.2,0.102,否,,陈技术员
W000088,P008,2026-06-03,07:30:00,24.5,4.7,7.3,31.4,0.15,0.085,否,,陈技术员
W000089,P009,2026-06-03,07:30:00,23.1,5.5,8.2,25.7,0.55,0.019,否,,陈技术员
W000090,P010,2026-06-03,07:30:00,25.6,8.3,8.6,25.1,0.33,0.034,否,,陈技术员
W000091,P001,2026-06-04,07:30:00,25.5,8.1,7.8,27.1,0.23,0.134,否,,王检验
W000092,P002,2026-06-04,07:30:00,25.9,6.0,7.5,28.6,0.8,0.102,否,,王检验
W000093,P003,2026-06-04,07:30:00,22.2,5.9,7.5,31.1,0.37,0.059,否,,陈技术员
W000094,P004,2026-06-04,07:30:00,23.5,7.4,7.8,23.1,0.28,0.103,否,,王检验
W000095,P005,2026-06-04,07:30:00,23.0,5.7,7.8,27.7,0.21,0.135,否,,陈技术员
W000096,P006,2026-06-04,07:30:00,22.7,4.6,7.6,23.3,0.72,0.061,否,,王检验
W000097,P007,2026-06-04,07:30:00,25.9,5.9,7.7,27.7,0.41,0.096,否,,王检验
W000098,P008,2026-06-04,07:30:00,25.0,6.2,7.9,31.3,0.45,0.071,否,,王检验
W000099,P009,2026-06-04,07:30:00,24.1,7.4,7.5,26.2,0.31,0.117,否,,王检验
W000100,P010,2026-06-04,07:30:00,22.9,8.4,8.1,26.4,0.25,0.022,否,,陈技术员
W000101,P001,2026-06-05,07:30:00,17.8,7.9,8.4,27.4,0.28,0.135,否,,陈技术员
W000102,P002,2026-06-05,07:30:00,20.1,5.1,7.8,30.0,0.75,0.095,否,,王检验
W000103,P003,2026-06-05,07:30:00,18.5,8.1,7.9,26.7,0.32,0.109,否,,陈技术员
W000104,P004,2026-06-05,07:30:00,18.2,7.2,7.4,30.4,0.62,0.13,否,,王检验
W000105,P005,2026-06-05,07:30:00,18.6,5.2,8.0,30.6,0.37,0.107,否,,王检验
W000106,P006,2026-06-05,07:30:00,16.8,7.3,8.3,22.4,0.76,0.037,否,,王检验
W000107,P007,2026-06-05,07:30:00,18.6,7.0,7.7,26.2,0.68,0.115,否,,王检验
W000108,P008,2026-06-05,07:30:00,16.5,5.2,8.1,24.0,0.19,0.141,否,,陈技术员
W000109,P009,2026-06-05,07:30:00,19.7,5.1,7.8,29.8,0.56,0.135,是,2026-06-06 18:00:00,王检验
W000110,P010,2026-06-05,07:30:00,16.4,8.5,8.5,23.8,0.21,0.055,否,,王检验
W000111,P001,2026-06-06,07:30:00,19.5,8.0,8.5,27.7,0.46,0.107,否,,陈技术员
W000112,P002,2026-06-06,07:30:00,18.4,5.1,8.0,29.6,0.35,0.142,是,2026-06-07 18:00:00,陈技术员
W000113,P003,2026-06-06,07:30:00,17.5,7.2,8.8,31.4,0.41,0.048,否,,陈技术员
W000114,P004,2026-06-06,07:30:00,16.4,6.8,7.5,23.6,0.74,0.078,否,,陈技术员
W000115,P005,2026-06-06,07:30:00,18.7,8.1,8.3,22.8,0.72,0.065,否,,王检验
W000116,P006,2026-06-06,07:30:00,17.5,6.3,7.2,29.9,0.43,0.13,是,2026-06-07 18:00:00,王检验
W000117,P007,2026-06-06,07:30:00,16.4,4.6,7.8,28.9,0.74,0.024,否,,陈技术员
W000118,P008,2026-06-06,07:30:00,17.0,4.7,7.7,27.9,0.12,0.102,否,,王检验
W000119,P009,2026-06-06,07:30:00,16.0,4.9,8.7,27.4,0.53,0.13,否,,陈技术员
W000120,P010,2026-06-06,07:30:00,17.0,6.1,8.7,23.5,0.42,0.086,否,,王检验
W000121,P001,2026-06-07,07:30:00,23.0,8.2,8.8,23.1,0.48,0.09,否,,王检验
W000122,P002,2026-06-07,07:30:00,23.4,6.4,7.3,30.2,0.4,0.057,否,,王检验
W000123,P003,2026-06-07,07:30:00,25.5,7.9,8.3,24.2,0.57,0.141,否,,陈技术员
W000124,P004,2026-06-07,07:30:00,23.9,7.7,7.5,29.5,0.65,0.099,否,,陈技术员
W000125,P005,2026-06-07,07:30:00,25.7,5.7,8.2,27.5,0.65,0.033,否,,王检验
