anomaly_type,risk_level,pond_id,feed_date,feed_time,plan_amount_kg,actual_amount_kg,deviation_kg,deviation_pct,water_temp,water_do,water_ph,water_salinity,is_supplement,supplement_time,supplement_after_feed,review_status,reviewer,anomaly_detail,record_id,_source_file,operator,review_time,notes,计划编号,备注,feed_type,water_ammonia_nitrogen,water_nitrite,water_records,water_date_enriched,latest_supplement_time
水温过高,高,P009,2026-05-31,08:15:00,74.0,82.0,8.0,10.81,31.2,7.5,8.7,31.0,False,,,已复核,李场长,水温 31.2℃ 高于阈值 28.0℃,REC000059,feed_records_june.json,李四,2026-05-31 17:30:00,,PL000059,,配合饲料A,0.72,0.118,1,,
投喂量偏差,高,P004,2026-06-01,08:15:00,54.2,73.1,18.89999999999999,34.87,28.2,7.0,8.2,29.0,True,2026-06-02 18:00:00,True,已复核,李场长,偏差 34.9% (计划54.2kg / 实际73.1kg),REC000064,feed_records_june.json,赵六,2026-06-01 17:30:00,,PL000064,,生鲜饵料,0.24,0.119,1,2026-06-01,2026-06-02 18:00:00
投喂量偏差,高,P002,2026-06-03,08:15:00,40.9,26.6,-14.299999999999997,-34.96,23.3,5.8,7.3,29.9,False,,,已复核,李场长,偏差 -35.0% (计划40.9kg / 实际26.6kg),REC000082,feed_records_june.json,张三,2026-06-03 17:30:00,,PL000082,,生鲜饵料,0.72,0.068,1,,
投喂量偏差,高,P009,2026-06-04,08:15:00,70.8,49.0,-21.799999999999997,-30.79,24.1,7.4,7.5,26.2,False,,,已复核,李场长,偏差 -30.8% (计划70.8kg / 实际49.0kg),REC000099,feed_records_june.json,王五,2026-06-04 17:30:00,,PL000099,,配合饲料B,0.31,0.117,1,,
投喂量偏差,高,P003,2026-06-05,08:15:00,52.6,68.9,16.300000000000004,30.99,18.5,8.1,7.9,26.7,False,,,已复核,李场长,偏差 31.0% (计划52.6kg / 实际68.9kg),REC000103,feed_records_june.json,张三,2026-06-05 17:30:00,,PL000103,,生鲜饵料,0.32,0.109,1,,
投喂量偏差,中,P007,2026-05-26,08:15:00,66.3,52.4,-13.899999999999999,-20.97,22.8,8.2,8.7,25.7,False,,,已复核,李场长,偏差 -21.0% (计划66.3kg / 实际52.4kg),REC000007,feed_records_june.json,王五,2026-05-26 17:30:00,,PL000007,,配合饲料A,0.66,0.054,1,,
补录时间异常,中,P008,2026-05-26,08:15:00,29.5,33.3,3.799999999999997,12.88,24.4,8.5,8.1,25.5,True,2026-05-27 18:00:00,True,已复核,李场长,水质数据补录晚于投喂时间 (补录时间: 2026-05-27 18:00:00),REC000008,feed_records_june.json,李四,2026-05-26 17:30:00,,PL000008,,配合饲料A,0.6,0.065,1,2026-05-26,2026-05-27 18:00:00
投喂量偏差,中,P002,2026-05-28,08:15:00,26.7,33.2,6.5000000000000036,24.34,22.6,6.8,7.9,29.2,False,,,已复核,李场长,偏差 24.3% (计划26.7kg / 实际33.2kg),REC000022,feed_records_june.json,李四,2026-05-28 17:30:00,,PL000022,,生鲜饵料,0.11,0.15,1,,
补录时间异常,中,P003,2026-05-28,08:15:00,37.1,32.5,-4.600000000000001,-12.4,23.6,6.7,7.3,26.1,True,2026-05-29 18:00:00,True,已复核,李场长,水质数据补录晚于投喂时间 (补录时间: 2026-05-29 18:00:00),REC000023,feed_records_june.json,张三,2026-05-28 17:30:00,,PL000023,,配合饲料A,0.39,0.028,1,2026-05-28,2026-05-29 18:00:00
补录时间异常,中,P004,2026-05-28,08:15:00,35.3,33.6,-1.6999999999999957,-4.82,25.3,6.7,7.8,28.9,True,2026-05-29 18:00:00,True,未复核,,水质数据补录晚于投喂时间 (补录时间: 2026-05-29 18:00:00),REC000024,feed_records_june.json,王五,,,PL000024,,配合饲料B,0.41,0.041,1,2026-05-28,2026-05-29 18:00:00
投喂量偏差,中,P007,2026-05-28,08:15:00,76.0,89.2,13.200000000000003,17.37,25.1,5.4,7.7,27.2,False,,,已复核,李场长,偏差 17.4% (计划76.0kg / 实际89.2kg),REC000027,feed_records_june.json,王五,2026-05-28 17:30:00,,PL000027,,配合饲料B,0.4,0.093,1,,
补录时间异常,中,P010,2026-05-28,08:15:00,73.3,80.6,7.299999999999997,9.96,25.0,7.4,8.4,30.0,True,2026-05-29 18:00:00,True,已复核,李场长,水质数据补录晚于投喂时间 (补录时间: 2026-05-29 18:00:00),REC000030,feed_records_june.json,赵六,2026-05-28 17:30:00,,PL000030,,生鲜饵料,0.51,0.046,1,2026-05-28,2026-05-29 18:00:00
投喂量偏差,中,P009,2026-05-29,08:15:00,25.5,18.7,-6.800000000000001,-26.67,23.3,6.4,7.9,27.5,False,,,已复核,李场长,偏差 -26.7% (计划25.5kg / 实际18.7kg),REC000039,feed_records_june.json,张三,2026-05-29 17:30:00,,PL000039,,配合饲料B,0.62,0.071,1,,
补录时间异常,中,P004,2026-05-30,08:15:00,53.9,61.9,8.0,14.84,23.8,8.4,7.6,23.8,True,2026-05-31 18:00:00,True,已复核,李场长,水质数据补录晚于投喂时间 (补录时间: 2026-05-31 18:00:00),REC000044,feed_records_june.json,王五,2026-05-30 17:30:00,,PL000044,,配合饲料B,0.17,0.136,1,2026-05-30,2026-05-31 18:00:00
补录时间异常,中,P001,2026-05-31,08:15:00,30.0,33.3,3.299999999999997,11.0,27.7,7.2,7.4,28.4,True,2026-06-01 18:00:00,True,已复核,李场长,水质数据补录晚于投喂时间 (补录时间: 2026-06-01 18:00:00),REC000051,feed_records_june.json,李四,2026-05-31 17:30:00,,PL000051,,配合饲料B,0.74,0.011,1,2026-05-31,2026-06-01 18:00:00
水温过高,中,P002,2026-05-31,08:15:00,31.1,26.8,-4.300000000000001,-13.83,30.7,4.8,7.5,27.3,False,,,已复核,李场长,水温 30.7℃ 高于阈值 28.0℃,REC000052,feed_records_june.json,王五,2026-05-31 17:30:00,,PL000052,,配合饲料B,0.22,0.012,1,,
溶解氧过低,中,P002,2026-05-31,08:15:00,31.1,26.8,-4.300000000000001,-13.83,30.7,4.8,7.5,27.3,False,,,已复核,李场长,溶氧 4.8mg/L 低于阈值 5.0mg/L,REC000052,feed_records_june.json,王五,2026-05-31 17:30:00,,PL000052,,配合饲料B,0.22,0.012,1,,
水温过高,中,P007,2026-05-31,08:15:00,69.7,77.0,7.299999999999997,10.47,28.9,4.6,7.7,31.2,False,,,未复核,,水温 28.9℃ 高于阈值 28.0℃,REC000057,feed_records_june.json,张三,,,PL000057,,生鲜饵料,0.56,0.116,1,,
溶解氧过低,中,P007,2026-05-31,08:15:00,69.7,77.0,7.299999999999997,10.47,28.9,4.6,7.7,31.2,False,,,未复核,,溶氧 4.6mg/L 低于阈值 5.0mg/L,REC000057,feed_records_june.json,张三,,,PL000057,,生鲜饵料,0.56,0.116,1,,
