anomaly_type,risk_level,pond_id,feed_date,feed_time,plan_amount_kg,actual_amount_kg,deviation_kg,deviation_pct,water_temp,water_do,water_ph,water_salinity,is_supplement,supplement_time,supplement_after_feed,review_status,reviewer,anomaly_detail,record_id,_source_file,operator,review_time,notes,计划编号,备注,feed_type,water_ammonia_nitrogen,water_nitrite,water_records,water_date_enriched,latest_supplement_time
投喂量偏差,低,P001,2026-05-31,08:15:00,30.0,33.3,3.299999999999997,11.0,27.7,7.2,7.4,28.4,True,2026-06-01 18:00:00,True,已复核,李场长,偏差 11.0% (计划30.0kg / 实际33.3kg),REC000051,feed_records_june.json,李四,2026-05-31 17:30:00,,PL000051,,配合饲料B,0.74,0.011,1,2026-05-31,2026-06-01 18:00:00
投喂量偏差,低,P001,2026-06-01,08:15:00,59.1,66.1,6.999999999999993,11.84,26.8,5.1,7.9,23.5,False,,,已复核,李场长,偏差 11.8% (计划59.1kg / 实际66.1kg),REC000061,feed_records_june.json,张三,2026-06-01 17:30:00,,PL000061,,配合饲料A,0.43,0.112,1,,
投喂量偏差,低,P001,2026-06-02,08:15:00,40.8,44.9,4.100000000000001,10.05,23.5,7.1,7.8,22.9,False,,,已复核,李场长,偏差 10.1% (计划40.8kg / 实际44.9kg),REC000071,feed_records_june.json,王五,2026-06-02 17:30:00,,PL000071,,生鲜饵料,0.7,0.126,1,,
投喂量偏差,中,P002,2026-05-28,08:15:00,26.7,33.2,6.5000000000000036,24.34,22.6,6.8,7.9,29.2,False,,,已复核,李场长,偏差 24.3% (计划26.7kg / 实际33.2kg),REC000022,feed_records_june.json,李四,2026-05-28 17:30:00,,PL000022,,生鲜饵料,0.11,0.15,1,,
投喂量偏差,低,P002,2026-05-31,08:15:00,31.1,26.8,-4.300000000000001,-13.83,30.7,4.8,7.5,27.3,False,,,已复核,李场长,偏差 -13.8% (计划31.1kg / 实际26.8kg),REC000052,feed_records_june.json,王五,2026-05-31 17:30:00,,PL000052,,配合饲料B,0.22,0.012,1,,
投喂量偏差,低,P002,2026-06-01,08:15:00,49.5,55.2,5.700000000000003,11.52,27.7,7.7,7.8,23.5,False,,,已复核,李场长,偏差 11.5% (计划49.5kg / 实际55.2kg),REC000062,feed_records_june.json,赵六,2026-06-01 17:30:00,,PL000062,,配合饲料A,0.66,0.095,1,,
投喂量偏差,高,P002,2026-06-03,08:15:00,40.9,26.6,-14.299999999999997,-34.96,23.3,5.8,7.3,29.9,False,,,已复核,李场长,偏差 -35.0% (计划40.9kg / 实际26.6kg),REC000082,feed_records_june.json,张三,2026-06-03 17:30:00,,PL000082,,生鲜饵料,0.72,0.068,1,,
投喂量偏差,中,P002,2026-06-04,08:15:00,58.1,69.6,11.499999999999993,19.79,25.9,6.0,7.5,28.6,False,,,已复核,李场长,偏差 19.8% (计划58.1kg / 实际69.6kg),REC000092,feed_records_june.json,赵六,2026-06-04 17:30:00,,PL000092,,配合饲料A,0.8,0.102,1,,
投喂量偏差,中,P002,2026-06-05,08:15:00,73.6,52.2,-21.39999999999999,-29.08,20.1,5.1,7.8,30.0,False,,,已复核,李场长,偏差 -29.1% (计划73.6kg / 实际52.2kg),REC000102,feed_records_june.json,张三,2026-06-05 17:30:00,,PL000102,,配合饲料A,0.75,0.095,1,,
投喂量偏差,低,P002,2026-06-06,08:15:00,23.9,27.0,3.1000000000000014,12.97,18.4,5.1,8.0,29.6,True,2026-06-07 18:00:00,True,未复核,,偏差 13.0% (计划23.9kg / 实际27.0kg),REC000112,feed_records_june.json,王五,,,PL000112,,配合饲料A,0.35,0.142,1,2026-06-06,2026-06-07 18:00:00
