anomaly_type,risk_level,pond_id,feed_date,feed_time,plan_amount_kg,actual_amount_kg,deviation_kg,deviation_pct,water_temp,water_do,water_ph,water_salinity,is_supplement,supplement_time,supplement_after_feed,review_status,reviewer,anomaly_detail,record_id,_source_file,operator,review_time,notes,计划编号,备注,feed_type,water_ammonia_nitrogen,water_nitrite,water_records,water_date_enriched,latest_supplement_time
补录时间异常,中,P001,2026-05-31,08:15:00,30.0,33.3,3.299999999999997,11.0,27.7,7.2,7.4,28.4,True,2026-06-01 18:00:00,True,已复核,李场长,水质数据补录晚于投喂时间 (补录时间: 2026-06-01 18:00:00),REC000051,feed_records_june.json,李四,2026-05-31 17:30:00,,PL000051,,配合饲料B,0.74,0.011,1,2026-05-31,2026-06-01 18:00:00
补录时间异常,中,P002,2026-06-06,08:15:00,23.9,27.0,3.1000000000000014,12.97,18.4,5.1,8.0,29.6,True,2026-06-07 18:00:00,True,未复核,,水质数据补录晚于投喂时间 (补录时间: 2026-06-07 18:00:00),REC000112,feed_records_june.json,王五,,,PL000112,,配合饲料A,0.35,0.142,1,2026-06-06,2026-06-07 18:00:00
补录时间异常,中,P003,2026-05-28,08:15:00,37.1,32.5,-4.600000000000001,-12.4,23.6,6.7,7.3,26.1,True,2026-05-29 18:00:00,True,已复核,李场长,水质数据补录晚于投喂时间 (补录时间: 2026-05-29 18:00:00),REC000023,feed_records_june.json,张三,2026-05-28 17:30:00,,PL000023,,配合饲料A,0.39,0.028,1,2026-05-28,2026-05-29 18:00:00
补录时间异常,中,P004,2026-05-28,08:15:00,35.3,33.6,-1.6999999999999957,-4.82,25.3,6.7,7.8,28.9,True,2026-05-29 18:00:00,True,未复核,,水质数据补录晚于投喂时间 (补录时间: 2026-05-29 18:00:00),REC000024,feed_records_june.json,王五,,,PL000024,,配合饲料B,0.41,0.041,1,2026-05-28,2026-05-29 18:00:00
补录时间异常,中,P004,2026-05-30,08:15:00,53.9,61.9,8.0,14.84,23.8,8.4,7.6,23.8,True,2026-05-31 18:00:00,True,已复核,李场长,水质数据补录晚于投喂时间 (补录时间: 2026-05-31 18:00:00),REC000044,feed_records_june.json,王五,2026-05-30 17:30:00,,PL000044,,配合饲料B,0.17,0.136,1,2026-05-30,2026-05-31 18:00:00
补录时间异常,中,P004,2026-06-01,08:15:00,54.2,73.1,18.89999999999999,34.87,28.2,7.0,8.2,29.0,True,2026-06-02 18:00:00,True,已复核,李场长,水质数据补录晚于投喂时间 (补录时间: 2026-06-02 18:00:00),REC000064,feed_records_june.json,赵六,2026-06-01 17:30:00,,PL000064,,生鲜饵料,0.24,0.119,1,2026-06-01,2026-06-02 18:00:00
补录时间异常,中,P006,2026-06-06,08:15:00,71.8,72.0,0.20000000000000284,0.28,17.5,6.3,7.2,29.9,True,2026-06-07 18:00:00,True,已复核,李场长,水质数据补录晚于投喂时间 (补录时间: 2026-06-07 18:00:00),REC000116,feed_records_june.json,张三,2026-06-06 17:30:00,,PL000116,,配合饲料A,0.43,0.13,1,2026-06-06,2026-06-07 18:00:00
补录时间异常,中,P007,2026-06-07,08:15:00,32.9,33.8,0.8999999999999986,2.74,23.3,8.1,7.7,25.5,True,2026-06-08 18:00:00,True,已复核,李场长,水质数据补录晚于投喂时间 (补录时间: 2026-06-08 18:00:00),REC000127,feed_records_june.json,王五,2026-06-07 17:30:00,,PL000127,,配合饲料A,0.5,0.084,1,2026-06-07,2026-06-08 18:00:00
补录时间异常,中,P008,2026-05-26,08:15:00,29.5,33.3,3.799999999999997,12.88,24.4,8.5,8.1,25.5,True,2026-05-27 18:00:00,True,已复核,李场长,水质数据补录晚于投喂时间 (补录时间: 2026-05-27 18:00:00),REC000008,feed_records_june.json,李四,2026-05-26 17:30:00,,PL000008,,配合饲料A,0.6,0.065,1,2026-05-26,2026-05-27 18:00:00
补录时间异常,中,P008,2026-05-31,08:15:00,53.0,55.3,2.299999999999997,4.34,27.0,4.6,8.2,25.4,True,2026-06-01 18:00:00,True,已复核,李场长,水质数据补录晚于投喂时间 (补录时间: 2026-06-01 18:00:00),REC000058,feed_records_june.json,李四,2026-05-31 17:30:00,,PL000058,,配合饲料B,0.3,0.034,1,2026-05-31,2026-06-01 18:00:00
补录时间异常,中,P008,2026-06-01,08:15:00,34.1,38.8,4.699999999999996,13.78,30.2,7.0,8.7,28.6,True,2026-06-02 18:00:00,True,已复核,李场长,水质数据补录晚于投喂时间 (补录时间: 2026-06-02 18:00:00),REC000068,feed_records_june.json,赵六,2026-06-01 17:30:00,,PL000068,,配合饲料A,0.28,0.116,1,2026-06-01,2026-06-02 18:00:00
