anomaly_type,risk_level,pond_id,feed_date,feed_time,plan_amount_kg,actual_amount_kg,deviation_kg,deviation_pct,water_temp,water_do,water_ph,water_salinity,is_supplement,supplement_time,supplement_after_feed,review_status,reviewer,anomaly_detail,record_id,_source_file,operator,review_time,notes,计划编号,备注,feed_type,water_ammonia_nitrogen,water_nitrite,water_records,water_date_enriched,latest_supplement_time
水温过低,中,P001,2026-06-05,08:15:00,61.6,64.4,2.8000000000000043,4.55,17.8,7.9,8.4,27.4,False,,,已复核,李场长,水温 17.8℃ 低于阈值 18.0℃,REC000101,feed_records_june.json,赵六,2026-06-05 17:30:00,,PL000101,,配合饲料B,0.28,0.135,1,,
水温过低,中,P003,2026-06-06,08:15:00,25.4,21.8,-3.599999999999998,-14.17,17.5,7.2,8.8,31.4,False,,,已复核,李场长,水温 17.5℃ 低于阈值 18.0℃,REC000113,feed_records_june.json,张三,2026-06-06 17:30:00,,PL000113,,配合饲料B,0.41,0.048,1,,
水温过低,中,P004,2026-06-06,08:15:00,22.3,25.5,3.1999999999999993,14.35,16.4,6.8,7.5,23.6,False,,,已复核,李场长,水温 16.4℃ 低于阈值 18.0℃,REC000114,feed_records_june.json,赵六,2026-06-06 17:30:00,,PL000114,,配合饲料A,0.74,0.078,1,,
水温过低,中,P006,2026-06-05,08:15:00,69.5,54.4,-15.100000000000001,-21.73,16.8,7.3,8.3,22.4,False,,,未复核,,水温 16.8℃ 低于阈值 18.0℃,REC000106,feed_records_june.json,李四,,,PL000106,,配合饲料B,0.76,0.037,1,,
水温过低,中,P006,2026-06-06,08:15:00,71.8,72.0,0.20000000000000284,0.28,17.5,6.3,7.2,29.9,True,2026-06-07 18:00:00,True,已复核,李场长,水温 17.5℃ 低于阈值 18.0℃,REC000116,feed_records_june.json,张三,2026-06-06 17:30:00,,PL000116,,配合饲料A,0.43,0.13,1,2026-06-06,2026-06-07 18:00:00
水温过低,中,P007,2026-06-06,08:15:00,59.1,52.8,-6.300000000000004,-10.66,16.4,4.6,7.8,28.9,False,,,未复核,,水温 16.4℃ 低于阈值 18.0℃,REC000117,feed_records_june.json,张三,,,PL000117,,生鲜饵料,0.74,0.024,1,,
水温过低,中,P008,2026-06-05,08:15:00,26.0,27.6,1.6000000000000014,6.15,16.5,5.2,8.1,24.0,False,,,已复核,李场长,水温 16.5℃ 低于阈值 18.0℃,REC000108,feed_records_june.json,张三,2026-06-05 17:30:00,,PL000108,,配合饲料B,0.19,0.141,1,,
水温过低,中,P008,2026-06-06,08:15:00,52.2,53.9,1.6999999999999957,3.26,17.0,4.7,7.7,27.9,False,,,已复核,李场长,水温 17.0℃ 低于阈值 18.0℃,REC000118,feed_records_june.json,王五,2026-06-06 17:30:00,,PL000118,,配合饲料B,0.12,0.102,1,,
水温过低,中,P009,2026-06-06,08:15:00,77.5,70.0,-7.5,-9.68,16.0,4.9,8.7,27.4,False,,,未复核,,水温 16.0℃ 低于阈值 18.0℃,REC000119,feed_records_june.json,李四,,,PL000119,,生鲜饵料,0.53,0.13,1,,
水温过低,中,P010,2026-06-05,08:15:00,49.8,42.5,-7.299999999999997,-14.66,16.4,8.5,8.5,23.8,False,,,已复核,李场长,水温 16.4℃ 低于阈值 18.0℃,REC000110,feed_records_june.json,王五,2026-06-05 17:30:00,,PL000110,,生鲜饵料,0.21,0.055,1,,
水温过低,中,P010,2026-06-06,08:15:00,71.6,75.5,3.9000000000000057,5.45,17.0,6.1,8.7,23.5,False,,,未复核,,水温 17.0℃ 低于阈值 18.0℃,REC000120,feed_records_june.json,赵六,,,PL000120,,配合饲料A,0.42,0.086,1,,
