component_code,model,capacity,location,install_date,manufacturer,string_code,array_code,remark
PV-001,JKM420N-72HL4,420.0,1号方阵A区第1排第1列,2023-03-15,JinkoSolar,STR-001,ARR-01,正常运行
PV-002,JKM420N-72HL4,420.0,1号方阵A区第1排第2列,2023-03-15,JinkoSolar,STR-001,ARR-01,正常运行
PV-003,JKM420N-72HL4,420.0,1号方阵A区第1排第3列,2023-03-15,JinkoSolar,STR-001,ARR-01,正常运行
PV-004,JKM420N-72HL4,420.0,1号方阵A区第2排第1列,2023-03-15,JinkoSolar,STR-002,ARR-01,正常运行
PV-005,JKM420N-72HL4,420.0,1号方阵A区第2排第2列,2023-03-15,JinkoSolar,STR-002,ARR-01,正常运行
PV-006,JKM420N-72HL4,420.0,1号方阵A区第2排第3列,2023-03-15,JinkoSolar,STR-002,ARR-01,正常运行
PV-007,LR5-72HPH-540M,540.0,2号方阵B区第1排第1列,2022-11-20,LONGi,STR-003,ARR-02,正常运行
PV-008,LR5-72HPH-540M,540.0,2号方阵B区第1排第2列,2022-11-20,LONGi,STR-003,ARR-02,正常运行
PV-009,LR5-72HPH-540M,540.0,2号方阵B区第2排第1列,2022-11-20,LONGi,STR-004,ARR-02,正常运行
PV-010,LR5-72HPH-540M,540.0,2号方阵B区第2排第2列,2022-11-20,LONGi,STR-004,ARR-02,正常运行
