工单号,标题,类型,优先级,创建时间,创建人,当前状态
TK20260601001,登录页面加载缓慢,技术问题,high,2026-06-01 09:30:00,张三,处理中
TK20260601002,无法收到验证码短信,技术问题,urgent,2026-06-01 10:15:00,李四,已回复
TK20260601003,咨询套餐价格,咨询,normal,2026-06-01 14:20:00,王五,已关闭
TK20260602001,订单支付失败,技术问题,high,2026-06-02 08:45:00,赵六,处理中
TK20260602002,账户余额显示错误,技术问题,normal,2026-06-02 11:00:00,钱七,待回复
TK20260603001,发票开具问题,财务问题,normal,2026-06-03 09:00:00,孙八,已回复
TK20260603002,移动端闪退,技术问题,urgent,2026-06-03 16:30:00,周九,处理中
TK20260604001,密码重置请求,账号问题,high,2026-06-04 10:00:00,吴十,已关闭
TK20260605001,建议增加深色模式,产品建议,low,2026-06-05 13:20:00,郑十一,已回复
TK20260605002,优惠券无法使用,活动问题,high,2026-06-05 15:45:00,王十二,待处理
